#t    E^kin_scal0    E^grad_scal0    E^kin_scal1    E^grad_scal1    Vpot_term_0    Vpot_term_1    E_tot
27.0000000000014    2.21221037853947e-07    1.57971111836235e-19    1.05093506106824e-15    1.1452838270838e-17    8.97600311326478e-07    8.58742438859455e-16    1.11882135110171e-06
27.5000000000015    8.45719156593485e-07    1.5652981851668e-19    1.09395431884299e-15    2.31139834163569e-18    2.13239822539701e-07    1.38970232748082e-16    1.05895898036858e-06
28.0000000000016    9.54459795198817e-07    1.59736601384267e-19    4.59129602370366e-16    3.83696398920372e-18    6.85079364720354e-09    4.44348801049984e-17    9.61310589353581e-07
28.5000000000017    8.69001318839461e-07    1.53544211940463e-19    2.41303805527622e-16    1.23283870582417e-16    1.25723191190694e-10    1.26455145737036e-16    8.69127042521848e-07
29.0000000000017    7.34929520267056e-07    1.38094494901616e-19    2.66605729886039e-15    7.523037621796e-18    5.46776144715005e-08    2.35643598183683e-16    7.89607137647919e-07
29.5000000000018    3.27809801115423e-07    1.14870851452065e-19    1.33138163560798e-15    4.32548006815616e-17    4.08647155776468e-07    2.71699516832923e-15    7.36456960983638e-07
30.0000000000019    1.60907194327158e-09    1.03083780499425e-19    2.95145269601697e-15    2.04416017627888e-17    7.24163816028073e-07    1.64834660414006e-15    7.25772892591689e-07
30.500000000002    3.60562812330224e-07    1.02545827948008e-19    3.33544068632194e-15    8.08789668661571e-18    3.51079823801523e-07    4.07234907877291e-16    7.11642639882613e-07
31.000000000002    6.21866721769089e-07    1.04922998205765e-19    1.30832167426296e-16    8.15759458974602e-17    3.99907765488801e-08    1.87931424981024e-15    6.61857500409796e-07
31.5000000000021    6.04253935848024e-07    1.03743350483723e-19    8.850378308006e-16    6.902375801497e-17    6.40677136495179e-11    5.35948830118252e-17    6.04318004569433e-07
32.0000000000022    5.47975406080728e-07    1.00135509881259e-19    9.77980315892259e-17    3.94920141324276e-16    4.57992138602341e-09    3.22912167833691e-15    5.52555331188691e-07
32.5000000000021    3.92373077122105e-07    8.39251970142204e-20    1.33081633812847e-16    1.82909919810775e-16    1.17697027594449e-07    7.82828039874021e-15    5.1007011286091e-07
33.000000000002    6.62189942749788e-08    7.27340552080492e-20    7.75740156432673e-15    3.89749747877514e-17    4.24144551367734e-07    2.82130943045404e-15    4.90363556260471e-07
33.5000000000019    7.97371980186034e-08    6.98608797704114e-20    8.26225873194366e-15    2.84292979086759e-17    4.0844609616178e-07    1.99891668515158e-15    4.88183304470058e-07
34.0000000000018    3.62818004220832e-07    7.03622758855656e-20    4.99129494054475e-15    3.17939167612319e-17    1.05445197381654e-07    1.7118377652556e-15    4.68263208337483e-07
34.5000000000017    4.29082777781195e-07    7.16212523911202e-20    2.4100143880987e-15    3.19048550662431e-17    4.03044180302376e-09    3.82213227014126e-16    4.33113222408423e-07
35.0000000000016    3.98692477595361e-07    7.14808739755279e-20    1.45677569289167e-15    6.40875169639093e-16    2.56534043738144e-11    4.31716416085843e-16    3.98718133529174e-07
35.5000000000015    3.46587981734061e-07    6.54903233717749e-20    1.35730733909691e-14    1.04650538527677e-16    2.16550212259524e-08    2.62432477948596e-15    3.68243019262128e-07
36.0000000000014    1.679161720645e-07    5.44011107963602e-20    1.32332050957274e-14    1.65128255377379e-16    1.78952540409338e-07    9.55721221246401e-15    3.46868735429437e-07
36.5000000000013    2.01838664355628e-13    4.91235309661659e-20    2.34234964595874e-14    4.3986936993513e-17    3.41985185304939e-07    3.2189895031279e-15    3.41985413830126e-07
37.0000000000012    1.58494454627336e-07    5.01888334720776e-20    2.14415703190975e-14    9.74405818223802e-18    1.78704821829815e-07    5.24246467953313e-16    3.37199298432762e-07
37.5000000000011    2.95678066159978e-07    4.97153515769105e-20    1.58860701024822e-15    4.6644334582529e-16    2.2423498981945e-08    1.11034568045178e-14    3.1810157830048e-07
38.000000000001    2.94884855609798e-07    5.16818912301811e-20    5.51270042773343e-15    3.26157553717953e-16    6.34009286456418e-11    3.57313482004053e-16    2.94948262734667e-07
38.5000000000009    2.71897689681096e-07    5.02895857843916e-20    2.2467617042942e-16    2.50498364808802e-15    1.72341161159355e-09    1.7421607620467e-14    2.73621121444007e-07
39.0000000000008    2.02793130863646e-07    4.39159309880744e-20    2.1496897365552e-15    1.12885918068369e-15    5.28098721239757e-08    4.42326167679851e-14    2.55603050498831e-07
39.5000000000007    4.08846462717345e-08    3.98879284873363e-20    6.06840058753114e-14    7.4515256794143e-17    2.05761433480701e-07    4.76174918878421e-15    2.46646145272746e-07
40.0000000000006    3.28196865376884e-08    3.59080578833339e-20    6.16836635684056e-14    4.19988099983776e-17    2.12903198751774e-07    2.65213976546081e-15    2.45722949667301e-07
40.5000000000005    1.78521378488814e-07    3.67584908704985e-20    2.35864943475147e-14    3.79673728636416e-16    5.9300288342401e-08    1.91804519660242e-14    2.37821709977872e-07
41.0000000000004    2.20194882077138e-07    3.78334318577519e-20    1.42933748846688e-14    3.1190648981847e-16    2.64105201060759e-09    3.75573477406884e-15    2.22835952448799e-07
41.5000000000003    2.07734274682369e-07    3.87574658985212e-20    9.96657221498044e-15    3.82159774883104e-15    5.02082466638731e-12    1.55740156074064e-15    2.07739310852645e-07
42.0000000000002    1.8440428626826e-07    3.78611931151493e-20    7.64993169528262e-14    1.24810978975378e-15    9.69697055216988e-09    2.67012711874365e-14    1.94101361269166e-07
42.5000000000001    9.5764425267268e-08    5.05374686661446e-20    1.19355181575729e-13    5.50855266855139e-16    8.8389631779203e-08    2.91622832833365e-14    1.84154206114842e-07
43    3.29018353246245e-10    4.30841508853839e-20    1.73410538213806e-13    4.18347635655867e-17    1.81284381373197e-07    3.05602140874326e-15    1.81613576234881e-07
43.4999999999999    7.81345297962813e-08    3.03936646542908e-20    1.37837529221917e-13    9.73949339407108e-17    1.01599408208592e-07    8.79046908249659e-15    1.79734084730297e-07
43.9999999999998    1.5734417933798e-07    2.94134866208481e-20    1.99046951986444e-14    2.85297564335058e-15    1.39315613634321e-08    7.05760607957406e-14    1.71275834035173e-07
44.4999999999997    1.6050733750393e-07    3.79306637329152e-20    3.88191295688445e-14    1.69610503781911e-15    6.20763029192219e-11    2.46253059170713e-15    1.60569456784653e-07
44.9999999999996    1.49812158743292e-07    3.49398358668629e-20    1.32237691296288e-15    1.75313775358795e-14    7.12408606199967e-10    1.03787011776732e-13    1.50524689990293e-07
45.4999999999995    1.15592746507913e-07    1.2088170452272e-19    4.62086696837679e-14    7.17290584994437e-15    2.62516659580016e-08    2.59525313132051e-13    1.41844725372925e-07
45.9999999999994    2.70150695319589e-08    2.57587838931887e-19    4.48511475389316e-13    7.7137108483561e-17    1.10248495275392e-07    6.64139336029587e-15    1.37264020037614e-07
46.4999999999993    1.46881520486253e-08    9.45323404906051e-20    4.36183973875945e-13    1.28711656805785e-16    1.2210549755013e-07    1.44646792734806e-14    1.36794100376215e-07
