#t    <phi>    <pi>    <phi^2>    <pi^2>    rms(phi)    rms(pi)
0    1    -0.500000416654171    1.00000000000001    0.250000416654519    1.13483862666248e-07    4.17145215094345e-07
0.5    0.732695233529614    -0.55750975336628    0.536842305237026    0.310817125098615    1.02648897100573e-07    2.90832130471127e-07
1    0.458970496081091    -0.519545144360677    0.210653916272929    0.269927157028799    7.78260112412314e-08    2.04237119584739e-07
1.5    0.226072004119375    -0.40663336778347    0.0511085510465523    0.165350695794946    4.22258676939574e-08    1.41482220669784e-07
2    0.0507682639087614    -0.300706532500508    0.00257741662031142    0.0904244186884934    4.20492315462852e-08    1.19480130416686e-07
2.49999999999999    -0.081388102192868    -0.233096213582747    0.0066240231785582    0.0543338447866243    3.83233951594801e-08    1.0262001881907e-07
2.99999999999998    -0.183404089899393    -0.17080802774461    0.0336370601918259    0.0291753823420133    3.74423784337547e-08    9.92281487902147e-08
3.49999999999997    -0.243145988877865    -0.0567604809158629    0.059119971907396    0.00322175219380918    3.50941941103392e-08    9.56258539323858e-08
3.99999999999996    -0.233717825846718    0.0914189779602435    0.054624022118517    0.00835742953130322    1.89523673194153e-08    8.79474814100885e-08
4.49999999999995    -0.164145671418981    0.169973014131951    0.026943801445589    0.0288908255331063    2.84730666543959e-08    7.67945203197128e-08
4.99999999999994    -0.0774254419202223    0.168779863060514    0.00599469905654224    0.0284866421747299    2.27518970907311e-08    6.28784442378523e-08
5.49999999999993    0.00145792034749718    0.146775575521667    2.12553174012331e-06    0.0215430695697202    2.18404156509669e-08    6.00719261651728e-08
5.99999999999992    0.0699405700643808    0.126827941509545    0.00489168334093107    0.0160853267475519    2.26197627833005e-08    5.77102019841919e-08
6.49999999999991    0.125370281030112    0.0888957510027921    0.0157177073655698    0.00790245454635362    2.22697324887829e-08    5.66636583194946e-08
6.9999999999999    0.151189141925808    0.00778644395957564    0.0228581566362623    6.06287095388358e-05    1.50709704615348e-08    5.67788102213415e-08
7.49999999999988    0.132245845532796    -0.0777167431857791    0.0174889636606845    0.00603989217140711    1.84314827197343e-08    5.26322215885962e-08
7.99999999999987    0.0828587731932132    -0.110450300992346    0.00686557629508472    0.012199268989302    1.90462274143476e-08    4.76141392767152e-08
8.49999999999986    0.0279722273531886    -0.1062808172022    0.000782445503098706    0.0112956121051694    1.52589111623675e-08    4.52486767021453e-08
8.99999999999985    -0.0226845044771077    -0.0965249491842723    0.000514586743372143    0.00931706581502798    1.48861071748912e-08    4.03919041618702e-08
9.49999999999984    -0.0680719826193991    -0.0830049633383832    0.00463379481773587    0.00688982393880781    1.02015540126798e-08    3.83265028080837e-08
9.99999999999983    -0.101472608840414    -0.0446159765857321    0.01029669034488    0.00199058536670033    1.6196814730094e-08    4.15959604351837e-08
10.4999999999998    -0.107574442721138    0.0220094452787618    0.0115722607267635    0.000484415681480386    9.29618598439191e-09    3.9702210834877e-08
10.9999999999998    -0.0825924468302355    0.07117497957609    0.00682151227340555    0.00506587771765828    1.62701416979937e-08    3.817215821333e-08
11.4999999999998    -0.0431031964955165    0.0819052531775784    0.00185788554813126    0.0067084704980843    1.2226698188373e-08    3.29956453821965e-08
11.9999999999998    -0.00316245804198964    0.0771960505235701    1.00011408674767e-05    0.00595923021643866    1.14763131428783e-08    3.28556737611831e-08
12.4999999999998    0.0340160707081121    0.0712140497648182    0.0011570930664194    0.00507144088390693    1.08107606392259e-08    3.03678645133845e-08
12.9999999999998    0.0664854507448    0.0553959760465803    0.00442031516073929    0.00306871416215429    8.06666674189694e-09    3.15217597564876e-08
13.4999999999998    0.0848553999636572    0.0135301772224522    0.0072004389029924    0.000183065695672002    1.27217485321913e-08    3.22097676173144e-08
13.9999999999997    0.0782308869115335    -0.0379477694752685    0.00612007166696511    0.00144003320814902    0    3.01063365988819e-08
14.4999999999997    0.05168359129176    -0.0627578050541902    0.00267119360881378    0.00393854209522057    9.62158140480529e-09    2.88183287644775e-08
14.9999999999997    0.0194385064009813    -0.0641469848315364    0.000377855531101078    0.00411483566297805    9.36247573804773e-09    2.63832929034119e-08
15.4999999999997    -0.0117391520817187    -0.0605326365306275    0.000137807691597807    0.00366420008534971    9.3075821146797e-09    2.53755357088824e-08
15.9999999999997    -0.0407813287104908    -0.0544555364776753    0.00166311677139318    0.00296540545307205    8.89804577655769e-09    2.50471616661968e-08
16.4999999999998    -0.0636009186603053    -0.0329407766104584    0.00404507685443487    0.00108509476370083    9.75300684248455e-09    2.65959945939578e-08
16.9999999999999    -0.0700325247844031    0.00911731512969293    0.00490455452767802    8.31254351748044e-05    0    2.60151853273459e-08
17.4999999999999    -0.0557925623945772    0.0438738403416832    0.0031128100185528    0.00192491386632808    3.51731345848718e-09    2.40543537458381e-08
18    -0.0305112536409728    0.0538303265956216    0.000930936598743867    0.00289770406139181    9.4514972301565e-09    2.29033241607834e-08
18.5000000000001    -0.00382943003980104    0.0522883080332078    1.46645344297912e-05    0.00273406715697608    7.78448573830944e-09    2.14502777648624e-08
19.0000000000002    0.0216531137682121    0.0494522594031999    0.000468857335859195    0.00244552596008182    7.60340992198379e-09    2.11675421760442e-08
19.5000000000002    0.0446291549261664    0.0402993827014049    0.0019917614694238    0.00162404024611477    6.4427930841007e-09    2.17713860221042e-08
20.0000000000003    0.0587797072145249    0.0128974861488888    0.00345505398022529    0.000166345148961288    3.79805805886503e-09    2.25919994135658e-08
20.5000000000004    0.0558215471022728    -0.0237939766534648    0.00311604512089128    0.000566153324986098    3.94452005867428e-09    2.16382892329148e-08
21.0000000000005    0.0380457434521573    -0.0434615643303663    0.00144747859482741    0.00188890757404297    6.07182054399372e-09    1.99828869946437e-08
21.5000000000006    0.0152980707361184    -0.0458837921954573    0.000234030968247329    0.0021053223862363    6.77280055503388e-09    1.98650182550568e-08
22.0000000000006    -0.00720595683824687    -0.0440642264839695    5.19258139547233e-05    0.00194165605563091    6.81260244168483e-09    1.87708805913345e-08
22.5000000000007    -0.0285604735072079    -0.0405727155582488    0.000815700646955972    0.00164614524777089    6.86758224260181e-09    1.80584861731386e-08
23.0000000000008    -0.0459682601102715    -0.0262368102526931    0.00211308093756563    0.000688370212236209    6.89198850536131e-09    1.9696940579001e-08
23.5000000000009    -0.0519316968585548    0.00413089011756975    0.00269690113860893    1.70642531638166e-05    1.02032193311256e-08    1.95236352747289e-08
24.000000000001    -0.0424359279006071    0.0311484087598611    0.00180080797678556    0.000970223368271734    5.36216579667739e-09    1.85374449184564e-08
24.500000000001    -0.0239883489728112    0.0399809269875466    0.000575440886441407    0.00159847452278382    5.88859211468586e-09    1.6769619228488e-08
25.0000000000011    -0.00397610913486025    0.0395199946974349    1.58094438523542e-05    0.00156182998088552    5.92818554956587e-09    1.53648113704684e-08
25.5000000000012    0.0154041985427632    0.0378795604094818    0.000237289332744904    0.00143486109681582    6.11210337050846e-09    1.54484566901853e-08
26.0000000000013    0.0332136340980177    0.0318037530278804    0.00110314548999704    0.00101147870665869    5.89051692230428e-09    1.65378543647797e-08
26.5000000000013    0.0448105516609981    0.0118745817015666    0.002007985540163    0.000141005690587482    5.00543277282557e-09    1.73924810219622e-08
27.0000000000014    0.0435297072558218    -0.0165893696627424    0.00189483541377759    0.000275207185807395    7.10518260246382e-09    1.66025771820126e-08
27.5000000000015    0.0303900962766756    -0.0330180042723457    0.000923557951705633    0.00109018860612889    4.80800458549599e-09    1.5714959881697e-08
28.0000000000016    0.012866197670285    -0.0356916945033981    0.000165539042490878    0.00127389705652413    5.53394706237264e-09    1.52039310737983e-08
28.5000000000017    -0.00473553277604909    -0.0346340607819703    2.24252706730639e-05    0.00119951816624941    5.3578524042977e-09    1.3999019537059e-08
29.0000000000017    -0.0216255612444667    -0.0323731126545261    0.000467664899138207    0.00104801842294285    5.0987374486217e-09    1.45107035572115e-08
29.5000000000018    -0.0357562625848904    -0.0219660820554852    0.00127851031403965    0.000482508760868547    3.7219614242367e-09    1.54028652923956e-08
30.0000000000019    -0.0412547731177252    0.00156341345638451    0.00170195630499499    2.44426163584617e-06    1.89519730724164e-09    1.55568738240044e-08
30.500000000002    -0.0344244068407689    0.023779271084281    0.00118503978633883    0.000565453733299934    7.39195090982171e-09    1.45307972048475e-08
31.000000000002    -0.0199988469689011    0.0317268110527656    0.000399953880085549    0.00100659053957808    5.01004922823117e-09    1.35873143159908e-08
31.5000000000021    -0.00400105760624178    0.0317596392701466    1.60084619684892e-05    0.00100867468657001    4.89543343867442e-09    1.30097239589814e-08
32.0000000000022    0.0116340119001389    0.0306998015336499    0.000135350232892597    0.000942477814205654    4.8560547201643e-09    1.26884025386267e-08
32.5000000000021    0.0261942743334085    0.0263579835678625    0.000686140007853893    0.000694743297763899    5.19201939097539e-09    1.37841024181738e-08
33.000000000002    0.0360905475404411    0.0109838612976983    0.00130252762176887    0.000120645209007279    5.19695941737472e-09    1.42947727944899e-08
33.5000000000019    0.0357518636388271    -0.0122273285354293    0.00127819575364928    0.000149507563113512    0    1.36893181711325e-08
34.0000000000018    0.0254842407289824    -0.0264614973432135    0.000649446525532758    0.000700210841645062    5.7228105498899e-09    1.2912921375585e-08
34.5000000000017    0.0112681640591511    -0.0291878909120567    0.000126971521263965    0.00085193297589428    4.45649586986956e-09    1.26902587104609e-08
35.0000000000016    -0.00318274063970843    -0.0285265778462058    1.01298379796725e-05    0.000813765643615777    4.56872929640549e-09    1.1819425902145e-08
35.5000000000015    -0.0171555502113307    -0.0269572360522671    0.000294312903053513    0.000726692575577791    4.80611922377066e-09    1.18334289578474e-08
36.0000000000014    -0.029087035759176    -0.019011699026834    0.000846055649255596    0.000361444699887085    3.58876856049289e-09    1.28852831825978e-08
36.5000000000013    -0.03419926883003    2.11179231648382e-05    0.00116958998850867    4.45966850038286e-10    3.21486552923762e-09    1.30859572761789e-08
37.0000000000012    -0.0290769644540713    0.0189619952007283    0.000845469861863338    0.000359557261992595    3.19701944399959e-09    1.23163015301376e-08
37.5000000000011    -0.01730576663898    0.0262413090735416    0.00029948955896285    0.000688606301893276    4.30967259966691e-09    1.17383901244457e-08
38.000000000001    -0.00399060647247098    0.0265447174254118    1.59249400181443e-05    0.00070462202319507    4.12549460693048e-09    1.0507938027116e-08
38.5000000000009    0.00911196937673789    0.0258102275685813    8.30279859226272e-05    0.000666167847142077    4.25741610644723e-09    1.10011817846873e-08
