1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 6.088221188305591e-19 1.853894892881942e-17 18
0.5 3.251805345192939e-18 1.384282740339851e-16 62
0.75 5.469103179341664e-18 3.457084299081911e-16 98
1 1.24212923190367e-17 1.113405747368531e-15 210
1.25 1.653115664863172e-17 2.399748972650458e-15 350
1.5 1.386900865630511e-17 4.046832885148079e-15 450
1.75 2.041032156229399e-17 5.896948571701093e-15 602
2 4.031622898008581e-17 7.913238679294967e-15 762
2.25 1.103635048127887e-16 1.032453292192593e-14 1142
2.5 2.031261121771731e-16 1.008607758865469e-14 1250
2.75 3.137612300763305e-16 8.683106831771212e-15 1458
3 4.216513190304313e-16 9.18123241684297e-15 1814
3.25 5.388044100579261e-16 1.04307577816904e-14 2178
3.5 6.304032134506614e-16 1.338640660812329e-14 2498
3.75 6.113589983788556e-16 1.704787618961776e-14 2622
4 3.441415222293445e-16 1.224872648925256e-14 3338
4.25 2.352823228731894e-28 9.790387943385361e-27 3722
4.5 2.217839453140157e-28 9.709162598974093e-27 4170
4.75 1.960487520949142e-28 7.740320618963852e-27 4358
5 1.867217668703456e-28 7.812648418891097e-27 5034
5.25 1.597294120418548e-28 7.391017497222629e-27 5714
5.5 1.248359770167666e-28 6.437821170392702e-27 5982
5.75 1.019847243089636e-28 5.910899810165649e-27 6602
6 7.685607207277599e-29 4.760777421899692e-27 7130
6.25 6.38671957201544e-29 3.704705632628334e-27 8034
6.5 5.282312664950142e-29 2.419324356394242e-27 8606
6.75 3.802283757402384e-29 1.680373089264783e-27 9066
7 2.297446186069393e-29 1.19167752542868e-27 9962
7.25 1.13154603274973e-29 7.187782955030581e-28 10550
7.5 5.398980412883195e-30 3.066885628702113e-28 11226
7.75 1.617064627713544e-30 7.646323547318756e-29 12146
8 4.724666444223262e-32 2.264013682166574e-30 12606
8.25 1.554128809020085e-41 1.251648393369974e-39 13802
8.5 1.031853192979105e-41 8.868357640847652e-40 14754
8.75 6.890160932974942e-42 6.068301103392401e-40 15194
9 4.725776533462987e-42 4.343429402740544e-40 16454
9.25 3.175385190363778e-42 2.901321625024764e-40 17154
9.5 2.110445475904693e-42 2.072551754420908e-40 18266
9.75 1.288497520020545e-42 1.360052175107568e-40 18750
10 8.327310878086546e-43 8.985118757949444e-41 20234
10.25 4.947908324364572e-43 5.373983584759734e-41 21450
10.5 2.522779863809684e-43 3.028149855162597e-41 21962
10.75 1.220802780790047e-43 1.577110331055548e-41 23462
11 5.173792413488774e-44 6.396229851415823e-42 24042
11.25 1.815022465915467e-44 2.134885588111592e-42 25946
11.5 3.83625153612417e-45 4.970086409548797e-43 26118
11.75 7.111745332722213e-46 9.158954421275249e-44 27506
12 4.740720900470799e-46 5.971282366761009e-44 29066
12.25 4.93623259150719e-46 6.436170602385707e-44 30450
12.5 5.171155711393935e-46 6.830055066251481e-44 31742
12.75 5.202701949648018e-46 7.090489994706296e-44 32250
13 5.586276630382823e-46 7.66125206122755e-44 34250
13.25 5.836245602579459e-46 8.203614686177459e-44 35454
13.5 6.043866631825051e-46 8.72537297519156e-44 36434
13.75 6.174117417192805e-46 9.102597472298237e-44 37682
14 6.438670864835181e-46 9.76020927444883e-44 39294
14.25 6.888271578993534e-46 1.047638096994536e-43 41426
14.5 7.169528695946643e-46 1.076476899873479e-43 42066
14.75 7.38680132710074e-46 1.146557283052051e-43 43490
15 7.841657925552444e-46 1.236374865155729e-43 45702
15.25 8.000008149967271e-46 1.287732804488323e-43 46634
15.5 8.477123422356481e-46 1.375489365136543e-43 48554
15.75 8.559621863633806e-46 1.381800957373748e-43 48870
16 8.742559544170075e-46 1.463594522885425e-43 50963
16.25 8.565463664043961e-46 1.493522976880236e-43 51576
16.5 7.891098114190529e-46 1.429927092970491e-43 49316
16.75 7.690062942978814e-46 1.435094894902754e-43 49344
17 7.291138145430413e-46 1.416979548800267e-43 47192
17.25 7.312122339027925e-46 1.450242064680067e-43 47576
17.5 6.927440155800151e-46 1.400985096752178e-43 45348
17.75 6.630804468105999e-46 1.379559236496068e-43 44060
18 6.62226192588714e-46 1.395072359832914e-43 43872
18.25 6.246827731066107e-46 1.356824742318764e-43 41756
18.5 6.306097047003366e-46 1.342336823176024e-43 41528
18.75 5.834170433562823e-46 1.313545872304741e-43 39300
19 5.62275887909783e-46 1.28104545493305e-43 38276
19.25 5.449551450070572e-46 1.254597517187771e-43 36900
19.5 5.21810547076211e-46 1.205783181205937e-43 34724
19.75 5.028437901562452e-46 1.202983154515828e-43 33960
20 4.735502722179492e-46 1.155829975502552e-43 32144
20.25 4.548207675355323e-46 1.109625213870718e-43 30704
20.5 4.331567526296154e-46 1.058095285473724e-43 28896
20.75 3.939263413765617e-46 9.988080892131787e-44 26924
21 3.814153706264271e-46 9.434779636050719e-44 25656
21.25 3.440538802313325e-46 8.640797483796111e-44 23228
21.5 3.271376500641941e-46 8.28265399096185e-44 21816
21.75 2.861189991484797e-46 7.451421029288414e-44 19472
22 2.59494444043362e-46 6.816374774830339e-44 17696
22.25 2.28145195921098e-46 6.219615282218661e-44 15588
22.5 1.988922005522004e-46 5.634309004058802e-44 13760
22.75 1.654707833068103e-46 4.588621510612856e-44 11565
23 1.399284953934009e-46 4.219211136671803e-44 10016
23.25 1.212745241026224e-46 3.717452274561678e-44 8652
23.5 1.092094772516627e-46 3.177316710423365e-44 7652
23.75 9.110957310737075e-47 2.70079965739667e-44 6542
24 7.686042281528498e-47 2.308668864498095e-44 5478
24.25 6.841981303817362e-47 2.060213285015516e-44 4886
24.5 5.585993696558228e-47 1.750228237345242e-44 4068
24.75 4.588230011376946e-47 1.40720806120107e-44 3326
25 3.66989429120618e-47 1.159637395873445e-44 2696
25.25 3.195009334563805e-47 1.048433812085541e-44 2304
25.5 2.731708909046764e-47 8.848572730270157e-45 1934
25.75 1.699987630969741e-47 5.879583514157316e-45 1344
26 1.108654978778001e-47 3.882323482472239e-45 848
26.25 1.196335536252935e-47 4.361499552589229e-45 888
26.5 8.446950285022087e-48 2.633263930692563e-45 584
26.75 4.34430395303339e-48 1.451914629287417e-45 344
27 1.331100723909408e-48 4.494352031006451e-46 102
27.25 1.505275261253785e-48 5.40590034362828e-46 104
27.5 3.305564898969194e-49 1.474270783377241e-46 24
27.75 7.949934649403972e-54 2.287567048803889e-47 1

0.25 4.137995965499963e-18 1.552803424531002e-17 18
0.5 2.732944640556732e-17 1.678323626313216e-16 62
0.75 5.828373719504815e-17 5.948455628345252e-16 98
1 1.524066842207285e-16 2.683312956423329e-15 210
1.25 2.168988597640252e-16 7.318029206143534e-15 350
1.5 1.713690320278749e-16 1.234698230796687e-14 450
1.75 8.348140138636808e-17 1.369100851351648e-14 602
2 1.59049354061655e-17 8.692713479370709e-15 762
2.25 1.838211344136723e-17 4.47503307776233e-15 1142
2.5 2.580450015206793e-17 6.754888675607738e-15 1250
2.75 2.326578968926346e-17 8.609573158899692e-15 1458
3 5.158463730635354e-17 6.638711168836239e-15 1814
3.25 6.759604771018189e-17 1.13705518850043e-14 2178
3.5 4.520094892638733e-17 2.287857429733476e-14 2498
3.75 6.253803239355065e-17 2.146287164065051e-14 2622
4 5.941154177360833e-17 8.809983515125624e-15 3338
4.25 2.040471849838558e-28 2.939525428424343e-26 3722
4.5 1.873935849717793e-28 2.555024043831238e-26 4170
4.75 1.402669481825031e-28 1.846372217190444e-26 4358
5 1.203724372271822e-28 1.562041778563248e-26 5034
5.25 9.363525723290697e-29 1.206234564609605e-26 5714
5.5 6.78723124644841e-29 9.697690816259113e-27 5982
5.75 5.210634459876326e-29 7.874083036328195e-27 6602
6 4.255944134251381e-29 6.016906881481845e-27 7130
6.25 3.107237347325325e-29 4.529705986274867e-27 8034
6.5 2.166425152414376e-29 2.84196880795869e-27 8606
6.75 1.289450156650164e-29 1.991674212227564e-27 9066
7 9.066583519059499e-30 1.410362681976534e-27 9962
7.25 5.700133830072709e-30 9.815801891822009e-28 10550
7.5 3.043285270010326e-30 5.286089391993919e-28 11226
7.75 8.66129240953032e-31 1.718597750525292e-28 12146
8 2.444520921144363e-32 5.264736710581663e-30 12606
8.25 1.626669081678252e-41 3.571826614530192e-39 13802
8.5 1.173058292202433e-41 2.487601174811695e-39 14754
8.75 7.684086756170124e-42 1.661370112818326e-39 15194
9 5.354422644017023e-42 1.128918389072946e-39 16454
9.25 3.599534547215251e-42 7.504027075597939e-40 17154
9.5 2.323776076262698e-42 5.06822589343281e-40 18266
9.75 1.503722026546267e-42 3.088010324574422e-40 18750
10 9.270719394065413e-43 1.907294710739076e-40 20234
10.25 5.04179196711176e-43 1.082525904626129e-40 21450
10.5 2.407674671891005e-43 5.41419894026692e-41 21962
10.75 1.139473302695329e-43 2.436651862543471e-41 23462
11 4.209568109263821e-44 9.52148392550902e-42 24042
11.25 1.316546822100686e-44 3.013913995586589e-42 25946
11.5 2.970340423445231e-45 6.28686404592716e-43 26118
11.75 7.559648998240833e-46 1.621013987800747e-43 27506
12 6.211677645997323e-46 1.287084234056308e-43 29066
12.25 6.491923831718358e-46 1.355760632278977e-43 30450
12.5 6.812917613482007e-46 1.410891390580498e-43 31742
12.75 6.914296758941224e-46 1.448520674730467e-43 32250
13 7.377821480000128e-46 1.547289126317926e-43 34250
13.25 7.670488242118464e-46 1.593580580101852e-43 35454
13.5 7.773845498302993e-46 1.668310931416612e-43 36434
13.75 8.139450265193688e-46 1.762848318163983e-43 37682
14 8.484854015643348e-46 1.829305305609038e-43 39294
14.25 8.92238375765578e-46 1.952723452228354e-43 41426
14.5 9.100173463215938e-46 1.967103127308049e-43 42066
14.75 9.541055041576071e-46 2.0730894214543e-43 43490
15 1.021858113755255e-45 2.192795460856717e-43 45702
15.25 1.070717594252739e-45 2.241938885345583e-43 46634
15.5 1.138363870434808e-45 2.373089746352858e-43 48554
15.75 1.127312182290339e-45 2.406360049440194e-43 48870
16 1.142545662993061e-45 2.483790913995831e-43 50963
16.25 1.094573116651187e-45 2.506255030898386e-43 51576
16.5 1.032387792100921e-45 2.414950311742514e-43 49316
16.75 1.011973902547085e-45 2.411198758941342e-43 49344
17 9.658544234401791e-46 2.319713376355825e-43 47192
17.25 9.511238084553927e-46 2.338325852294991e-43 47576
17.5 9.028386999430415e-46 2.239106821661363e-43 45348
17.75 8.675331297258928e-46 2.1521672137074e-43 44060
18 8.566195612684611e-46 2.156633186826117e-43 43872
18.25 8.132513193079976e-46 2.073342825740909e-43 41756
18.5 7.979479640922057e-46 2.033616845699782e-43 41528
18.75 7.589529522907553e-46 1.948311259030019e-43 39300
19 7.12241957827614e-46 1.886329678780172e-43 38276
19.25 7.069253191252921e-46 1.839086525651059e-43 36900
19.5 6.437208725838935e-46 1.740736725847062e-43 34724
19.75 6.339407639459208e-46 1.710861122333305e-43 33960
20 5.924592660016752e-46 1.648335764065104e-43 32144
20.25 5.560128929445883e-46 1.551122152180926e-43 30704
20.5 5.3782731816604e-46 1.500073185751476e-43 28896
20.75 4.898124420254836e-46 1.404995827589388e-43 26924
21 4.627470580593333e-46 1.355424156744253e-43 25656
21.25 4.156394801120204e-46 1.2305176701647e-43 23228
21.5 4.074716335724856e-46 1.153621509405368e-43 21816
21.75 3.535990514839536e-46 1.0426689032234e-43 19472
22 3.172427922009755e-46 9.726586757362656e-44 17696
22.25 2.821016131822404e-46 8.429261052833185e-44 15588
22.5 2.485075406169706e-46 7.632963671611378e-44 13760
22.75 2.063926819314903e-46 6.399328770370988e-44 11565
23 1.795888454282679e-46 5.765221276602173e-44 10016
23.25 1.557043743631488e-46 5.026397221386364e-44 8652
23.5 1.364127452693244e-46 4.38417679315837e-44 7652
23.75 1.179301716926424e-46 3.856574593438577e-44 6542
24 9.716323656822403e-47 3.459529811797739e-44 5478
24.25 9.093555397496005e-47 3.071350264460573e-44 4886
24.5 7.687842420075789e-47 2.615146502379435e-44 4068
24.75 6.060051992775197e-47 2.125578262784293e-44 3326
25 4.84130981281802e-47 1.78237789927936e-44 2696
25.25 4.33698549814428e-47 1.570247666234625e-44 2304
25.5 3.907538191277558e-47 1.314738685176196e-44 1934
25.75 2.568990630145721e-47 8.945990539762541e-45 1344
26 1.784264095148143e-47 5.804306549444689e-45 848
26.25 1.687454435748252e-47 6.007175453309486e-45 888
26.5 1.322814355658168e-47 3.924560758849598e-45 584
26.75 7.68006997802162e-48 2.462535386157476e-45 344
27 2.003508918522662e-48 6.972510396645715e-46 102
27.25 2.892967054899559e-48 7.491994390683932e-46 104
27.5 3.107523529257586e-49 1.644401960220051e-46 24
27.75 3.881455441127443e-50 5.039425890390801e-48 1

0.25 3.524809277265841e-18 1.389693112231309e-16 18
0.5 1.880989347124978e-17 1.179396014335886e-15 62
0.75 2.65201224817072e-17 3.298238181096609e-15 98
1 2.773684596303408e-17 1.14054273100204e-14 210
1.25 5.841145790380894e-18 2.145713916027046e-14 350
1.5 8.871669339241221e-17 2.073356543806733e-14 450
1.75 1.843621063712494e-16 1.051365465702033e-14 602
2 1.030928747981189e-16 1.611491659549525e-15 762
2.25 5.60910206612165e-17 6.348992459979155e-16 1142
2.5 7.480068913631496e-17 4.725271949255632e-16 1250
2.75 5.925492712901898e-17 1.00150430356736e-15 1458
3 1.043318337672949e-16 8.326114291478519e-16 1814
3.25 8.496740134923757e-17 1.79048844227501e-15 2178
3.5 1.976051197626374e-16 1.317609332733402e-15 2498
3.75 1.198350160196064e-16 3.681748226169089e-15 2622
