1:binCentralValue 2:valuesAverage 3:multiplicity
4.75 1.285375841086547e-27 4358
5 1.403208558329438e-27 5034
5.25 1.234820583314667e-27 5714
5.5 9.775754538508775e-28 5982
5.75 8.697219429088202e-28 6602
6 7.166321831824637e-28 7130
6.25 4.745990784413329e-28 8034
6.5 3.026046246068418e-28 8606
6.75 1.792652639555177e-28 9066
7 9.934570177786737e-29 9962
7.25 4.312472983228865e-29 10550
7.5 1.470641622925333e-29 11226
7.75 2.937458449750987e-30 12146
8 7.171122943297824e-32 12606
8.25 1.000013928760103e-40 13802
8.5 7.637009271480622e-41 14754
8.75 6.045133227956075e-41 15194
9 5.149552569779985e-41 16454
9.25 3.895116136078216e-41 17154
9.5 2.876805021894836e-41 18266
9.75 1.922973915808423e-41 18750
10 1.267940078857116e-41 20234
10.25 7.793821933117134e-42 21450
10.5 4.332415335232122e-42 21962
10.75 2.392043420315256e-42 23462
11 1.107955275178949e-42 24042
11.25 4.940684563832254e-43 25946
11.5 2.291596330377292e-43 26118
11.75 1.812874752148749e-43 27506
12 2.002306830065178e-43 29066
12.25 2.183487394482476e-43 30450
12.5 2.500006285840388e-43 31742
12.75 2.725596747840959e-43 32250
13 3.036791980058245e-43 34250
13.25 3.37006436792057e-43 35454
13.5 3.791442686726011e-43 36434
13.75 4.223042533694761e-43 37682
14 4.751451706631926e-43 39294
14.25 5.336578030848887e-43 41426
14.5 5.702414730031112e-43 42066
14.75 6.344315506658238e-43 43490
15 7.100729005057431e-43 45702
15.25 7.697228287992551e-43 46634
15.5 8.461988414827864e-43 48554
15.75 8.717307111319902e-43 48870
16 9.428796160653414e-43 50963
16.25 9.60926355570896e-43 51576
16.5 9.471992111168579e-43 49316
16.75 9.843401301176266e-43 49344
17 9.711801505503981e-43 47192
17.25 9.916031379693455e-43 47576
17.5 9.868793395481461e-43 45348
17.75 9.831584205083559e-43 44060
18 9.872106865260892e-43 43872
18.25 1.007228685216488e-42 41756
18.5 1.03236348756373e-42 41528
18.75 1.001640993048567e-42 39300
19 9.984236925709691e-43 38276
19.25 1.000875887149953e-42 36900
19.5 9.947900643666204e-43 34724
19.75 1.00840579830558e-42 33960
20 9.8493643157693e-43 32144
20.25 9.828796488907401e-43 30704
20.5 9.456105143583867e-43 28896
20.75 9.097893056237635e-43 26924
21 9.01630235473523e-43 25656
21.25 8.79085875432651e-43 23228
21.5 8.404220277877793e-43 21816
21.75 7.954042329049292e-43 19472
22 7.403677554007514e-43 17696
22.25 6.593848021709193e-43 15588
22.5 5.846356567584497e-43 13760
22.75 4.920035471666174e-43 11565
23 4.340916320044883e-43 10016
23.25 3.825216381364982e-43 8652
23.5 3.338702207834313e-43 7652
23.75 3.012201594775807e-43 6542
24 2.478698220710003e-43 5478
24.25 2.347217103083792e-43 4886
24.5 2.077859222006198e-43 4068
24.75 1.617622926297016e-43 3326
25 1.30373147344333e-43 2696
25.25 1.044663156278839e-43 2304
25.5 8.746270358208493e-44 1934
25.75 6.838007310781666e-44 1344
26 4.457280985098693e-44 848
26.25 5.066212892076828e-44 888
26.5 3.600057675011075e-44 584
26.75 2.223171396755193e-44 344
27 6.895263257890489e-45 102
27.25 5.597417491111081e-45 104
27.5 1.022476609820059e-45 24
27.75 1.855679272272588e-49 1

0.25 5.281706294240522e-29 18
0.5 1.548433871560528e-28 62
0.75 2.383128796853823e-28 98
1 8.680298883336357e-28 210
1.25 1.298284952476935e-27 350
1.5 1.430163980681038e-27 450
1.75 1.225575358799468e-27 602
2 2.308948390369268e-27 762
2.25 2.792251994075741e-27 1142
2.5 2.519531939982973e-27 1250
2.75 2.376015701974494e-27 1458
3 2.526064153499802e-27 1814
3.25 2.567381567450825e-27 2178
3.5 2.508062855427185e-27 2498
3.75 2.283293819176667e-27 2622
4 2.391441908684102e-27 3338
4.25 1.918821782565274e-27 3722
4.5 1.616414563726818e-27 4170
4.75 1.304578834405393e-27 4358
5 1.155820721847239e-27 5034
5.25 1.060400174682369e-27 5714
5.5 9.056987121454372e-28 5982
5.75 8.130930599883613e-28 6602
6 6.04307864014341e-28 7130
6.25 4.040000606134213e-28 8034
6.5 2.464799190204611e-28 8606
6.75 1.531517085203677e-28 9066
7 8.236255270080978e-29 9962
7.25 3.637300157640475e-29 10550
7.5 1.190476297483457e-29 11226
7.75 2.10408242886322e-30 12146
8 5.042179438199585e-32 12606
8.25 9.708047288900194e-41 13802
8.5 7.3568678501212e-41 14754
8.75 5.673723537648458e-41 15194
9 4.834442732580404e-41 16454
9.25 3.726293905276837e-41 17154
9.5 2.720882586176723e-41 18266
9.75 1.793783710182438e-41 18750
10 1.17339524633964e-41 20234
10.25 7.436516431062672e-42 21450
10.5 3.995336009720702e-42 21962
