#t    <|E|>    <|B|>    <|E|^2>    <|B|^2>    rms(|E|)    rms(|B|)
0    11.8442014484068    1.68367135493849    165.584730233608    3.32680650860738    5.02987298877093    0.701467944504228
0.3535535    11.9300365923117    1.60461147428891    167.90584554135    3.02206863784397    5.05767460869663    0.668797917479064
0.707106999999999    9.7261751879478    1.68321350577132    111.46307901818    3.33014329199123    4.10665255792698    0.704936582949301
1.0606605    8.00117997014546    2.06631473112338    75.3023071583335    5.03953837788364    3.35908116062662    0.877429091053026
1.414214    5.28294436423528    2.95311102149624    32.8723095476866    10.2707247636941    2.22773615854333    1.24493375663587
1.76776750000001    4.88613954340237    3.12953419441943    27.9402376406156    11.5686456230005    2.01640224236517    1.33216415991425
2.121321    7.88725224281852    2.21114716132115    72.8234421344567    5.77473012102715    3.25801998038853    0.941041100063425
2.4748745    11.6575867015429    1.72726315814717    159.697185184825    3.51767173467363    4.87830477531236    0.730912934063354
2.82842799999999    11.7287440056325    1.68985783328125    161.613427598342    3.36839325682137    4.90407908262926    0.716082229998316
3.18198149999998    9.11060762085949    1.7417607997614    98.1355721690306    3.58049590047089    3.89003868204001    0.739435742228776
3.53553499999997    7.15078006051977    2.51398316571648    59.9678170620446    7.46142022746997    2.97223175208755    1.06832058389049
3.88908849999997    4.69756805658556    3.49662646055843    25.9394463542691    14.4173326046599    1.9678162282124    1.48018106999874
4.24264199999997    8.38276603371664    2.19215007701435    82.9132108757536    5.66368003385306    3.55562153493876    0.926368217124838
4.59619549999999    13.6063828170162    1.7988754616811    218.347711639023    3.81896553888004    5.76316391193491    0.763552625718522
4.949749    12.7386147082397    1.53769354725998    191.369815596791    2.79429177058017    5.39421087016537    0.655583957472415
5.30330250000002    11.5369773358559    1.65435664623027    156.858703219411    3.23641049737921    4.87410065256747    0.706763457213902
5.65685600000003    10.2369210053401    2.2468066024044    123.408012574547    5.95537848637303    4.31433203462293    0.952490723191059
6.01040950000005    7.75224344954476    3.03500835312921    70.5678730550104    10.8592565934175    3.23582980918354    1.28373707972208
6.36396300000006    5.47480104228533    4.38486541996048    35.3164527383661    22.6857570574142    2.31149438367426    1.85976135733834
6.71751650000007    16.3185210869288    2.65507164642864    313.67882015765    8.32464814815312    6.8836538039845    1.12926644353042
7.07107000000009    13.4954542315607    1.95615422361372    214.277133487495    4.53388269077299    5.67008364764969    0.841037064707143
7.4246235000001    12.4139453012933    1.96606447508554    181.468898503826    4.57846398299325    5.23095216574613    0.844425522352256
7.77817700000012    11.0714120942469    2.33745293421276    144.769477822525    6.44560816861826    4.71097782438938    0.990919749000096
8.13173050000013    10.1045483137654    2.88953109563139    119.759129878979    9.87536070955899    4.20205107700516    1.23530188898836
8.48528400000015    9.79228039252028    4.54422966984768    113.587736381214    24.3283211397715    4.20701569945686    1.91788890383345
8.83883750000016    11.2266683508044    4.7097304310642    149.167474884554    26.4203935381402    4.80930271719323    2.05884258865219
9.19239100000018    23.4744533170873    2.69058180919522    652.309308548393    8.57315669322315    10.0627704938691    1.15495723784515
9.54594450000019    12.5885940365739    3.1213135120935    186.799435775341    11.5943025697881    5.32228672261058    1.36077350393468
9.89949800000021    13.66171647744    3.20173586961177    220.227036343153    12.1931122009951    5.79521692719082    1.39355646539222
10.2530515000002    29.0167749156575    2.70675389996722    1003.18624748229    8.66418151455328    12.696968968079    1.1565746147852
10.6066050000002    19.3233965392027    3.42336439981503    444.628444107031    13.8631231430767    8.44007051485713    1.46413774254875
10.9601585000002    13.7471464739636    9.09773278099255    224.836060508596    98.311760821768    5.98765599646365    3.94246357845212
11.3137120000003    47.08059433451    2.93298954458095    2640.01957369752    10.1599955026826    20.5775900145478    1.24802557428181
11.6672655000003    14.7793596134022    5.66731450865709    257.18351771244    38.1886703103304    6.22527486382543    2.46378095014457
