1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.707107 4.418904189351398e-16 2.682464511621195e-15 18
1.41421 2.998245026900709e-15 3.122738823449192e-14 62
2.12132 4.427698479804391e-15 6.445220292179802e-14 98
2.82843 1.437205289624708e-14 2.213732785379e-13 210
3.53554 2.597154665143962e-14 4.933842214660484e-13 350
4.24264 3.23372019076953e-14 8.484539100668949e-13 450
4.94975 4.377734621314313e-14 1.362188530309975e-12 602
5.65686 2.496096720966562e-14 8.909759109530984e-13 762
6.36396 3.280160831566122e-33 4.046195842105705e-33 1142
7.07107 1.278124005764554e-32 3.903487957570338e-33 1250
7.77818 4.172573907374739e-33 5.566042637749697e-33 1458
8.48528 2.36013532991548e-32 1.501895125868312e-32 1814
9.19239 6.814315747962961e-33 8.909692917674525e-33 2178
9.8995 8.107770297167946e-33 4.947784099324023e-33 2498
10.6066 1.127755445624263e-32 5.486519969341723e-33 2622
11.3137 1.030835624822768e-32 9.517022032621021e-33 3338
12.0208 1.410027230072487e-32 1.475895485258943e-32 3722
12.7279 1.274435093524796e-32 1.055510187918001e-32 4170
13.435 1.097648684572485e-32 1.53471504384294e-32 4358
14.1421 3.325263572804107e-32 1.826118400676331e-32 5034
14.8492 1.644712705613498e-32 1.685347875481738e-32 5714
15.5564 1.999927939859106e-32 2.002774374077497e-32 5982
16.2635 2.299432958023883e-32 1.957970238042159e-32 6602
16.9706 1.805395812980943e-32 1.821270593752498e-32 7130
17.6777 2.462684506101742e-32 2.243044507764547e-32 8034
18.3848 2.947975172152883e-32 2.31971617722707e-32 8606
19.0919 2.545033378232764e-32 2.681228394539541e-32 9066
19.799 5.530275934816639e-32 3.055453106701038e-32 9962
20.5061 3.789069686272299e-32 2.746469534929171e-32 10550
21.2132 3.701484708083689e-32 3.808690146609159e-32 11226
21.9203 4.622744528715919e-32 4.498428137959718e-32 12146
22.6274 3.598271501666714e-32 3.237232295306067e-32 12303
23.3345 3.830620725235362e-32 3.510171723994762e-32 12584
24.0416 3.652395231996757e-32 2.909256337376722e-32 12120
24.7487 3.098948885426665e-32 2.69711095004247e-32 11180
25.4559 3.111194583442715e-32 2.716009568257559e-32 11096
26.163 2.431204446499662e-32 2.281282374059069e-32 10056
26.8701 2.786329705640259e-32 2.264473454010322e-32 9716
27.5772 2.50110959465211e-32 1.924729602078323e-32 8604
28.2843 1.883523973276791e-32 1.87644275853614e-32 8060
28.9914 2.080432988935651e-32 1.81163911489099e-32 7320
29.6985 1.543630241297426e-32 1.525462480578611e-32 6356
30.4056 2.243873772420824e-32 1.285545941644512e-32 5348
31.1127 1.088979515025981e-32 8.813372394958967e-33 4308
31.8198 1.157437903940587e-32 8.292058964955864e-33 3563
32.5269 5.905698227182067e-33 5.379666199003656e-33 2448
33.234 4.451802385709805e-33 3.641853001016908e-33 1868
33.9411 3.650910260601493e-33 3.10544767993913e-33 1358
34.6482 2.697419036487467e-33 2.298331968896989e-33 1062
35.3554 2.149890259247085e-33 1.689291712237671e-33 776
36.0625 1.168514081140874e-33 1.011768201590003e-33 432
36.7696 9.340226370966321e-34 7.998681790682827e-34 200
37.4767 7.302575144618833e-34 6.28817218010335e-34 168
38.1838 3.376687226332053e-34 2.630796766692099e-34 56
38.8909 1.627063419679004e-34 9.570915018173428e-35 7

0.707107 5.327750668770478e-17 3.0898071266045e-16 18
1.41421 3.99257011777311e-16 4.437310209294874e-15 62
2.12132 1.127155693083933e-15 1.309595103792054e-14 98
2.82843 3.045093100501255e-15 4.532431497132684e-14 210
3.53554 4.739730999272126e-15 9.805158611783701e-14 350
4.24264 4.143240752218967e-15 1.38962138934978e-13 450
4.94975 2.572695783800142e-15 1.260070803593321e-13 602
5.65686 7.563194976839241e-16 3.836174559247779e-14 762
6.36396 1.269848021184468e-27 8.319788831616185e-26 1142
7.07107 1.57912243522235e-27 4.489783740414924e-26 1250
7.77818 1.87012408117126e-27 8.853216629134515e-26 1458
8.48528 8.696890715117476e-28 1.278212707150333e-25 1814
9.19239 5.719945768791478e-28 4.519201942126083e-26 2178
9.8995 1.108173238995541e-28 2.296039460637266e-26 2498
10.6066 5.502757077477885e-29 3.99242784208576e-27 2622
11.3137 2.973665252333704e-30 3.616283776276276e-28 3338
12.0208 4.651652767732194e-32 6.1759366367449e-31 3722
12.7279 5.482479805500967e-32 7.600959141096893e-31 4170
13.435 4.87782898473799e-32 8.56792094484819e-31 4358
14.1421 5.575688936780778e-32 1.214071838415816e-30 5034
14.8492 6.043263455991475e-32 1.282515883824761e-30 5714
15.5564 6.034387805423118e-32 1.482636906952106e-30 5982
16.2635 6.36946020127543e-32 1.773913363197292e-30 6602
16.9706 6.760810764485005e-32 2.023229911598097e-30 7130
17.6777 7.375872343354487e-32 2.506360046165029e-30 8034
18.3848 7.768635401029755e-32 2.867681974511048e-30 8606
19.0919 7.743597974900773e-32 3.217163138676618e-30 9066
19.799 8.654731326384761e-32 3.918059642693879e-30 9962
20.5061 8.929159285081767e-32 4.37017989483702e-30 10550
21.2132 9.41136491983899e-32 4.932470277940769e-30 11226
21.9203 1.019817547433832e-31 5.704914656105376e-30 12146
22.6274 1.046124340675972e-31 6.126420823017774e-30 12303
23.3345 1.040714895887143e-31 6.69931910797314e-30 12584
24.0416 9.416173556804551e-32 7.0174345404147e-30 12120
24.7487 8.272248417193687e-32 6.746234125770197e-30 11180
25.4559 8.158231498784688e-32 7.229186609780613e-30 11096
26.163 7.121921791358012e-32 7.054903499311191e-30 10056
26.8701 6.594064755653328e-32 7.200276388543707e-30 9716
