#t    E^kin_cmplxscal0    E^grad_cmplxscal0    E^kin_U10    E^grad_U10    Vpot_term_0    E_tot
0    0.500000557912751    2.41776672307144e-12    7.45131286051237e-12    1.49706292887332e-13    1.00000000000011    1.50000055792288
0.3535535    0.277893243001319    6.54039571027778e-13    1.50995567116755e-12    2.71770745304178e-14    0.288199521442143    0.566092764445652
0.707106999999999    0.12288306975097    2.30594662364191e-13    2.598810417354e-13    7.76437467432321e-15    0.0443749991234247    0.167258068874893
1.0606605    0.0463835561715765    6.14866700865379e-14    6.6661831153907e-14    4.4612823845323e-15    0.00261207359257508    0.0489956297642842
1.414214    0.018094049662637    8.81596723332521e-15    1.48075478434285e-14    4.62651545990288e-15    6.64295060659779e-06    0.0181006926132719
1.76776750000001    0.00844611784889089    1.00881933052003e-14    7.59549575329551e-15    3.14491236012781e-15    4.3878259288377e-05    0.0084899961082001
2.121321    0.00370356619648403    1.76885044644623e-14    1.32017534958889e-14    1.04686844412444e-15    0.00113145875841708    0.00483502495493305
2.4748745    0.000341227376228099    1.11497761203911e-14    2.01539506615956e-14    4.43933827025515e-16    0.00349518395496625    0.0038364113312261
2.82842799999999    0.000732299994649959    8.63347947977536e-15    1.39591162223594e-14    2.90939890659578e-16    0.00298378856215188    0.00371608855682473
3.18198149999998    0.00208264185705487    6.16445828246731e-15    5.73703019547494e-15    2.0931668957302e-16    0.000725968114499161    0.00280860997156614
3.53553499999997    0.00172213922807865    1.99931808170119e-15    2.46561026382967e-15    3.06780456533248e-16    3.59362747409849e-05    0.00175807550282441
3.88908849999997    0.00111983489140755    3.16565410293181e-16    7.88507374375257e-16    4.38258123258832e-16    4.5192939715577e-12    0.00111983489592838
4.24264199999997    0.000733317808015491    2.38309740220268e-15    1.93865598192575e-15    1.32426751555867e-16    2.39287656249094e-05    0.000757246573644855
4.59619549999999    0.000320422075364104    1.72857466272961e-15    4.03852704157108e-15    7.06350228441719e-17    0.000247047559915385    0.000567469635285327
4.949749    2.19555202919147e-06    3.00742807659821e-15    2.82348916501229e-15    4.12272568352121e-17    0.000522496944242041    0.000524692496277104
5.30330250000002    0.000194445246729877    2.41498358235637e-15    1.82892069092607e-15    3.77354778632053e-17    0.000305864267702098    0.000500309514436257
5.65685600000003    0.000349548086261031    1.19608508467986e-15    1.1398331924646e-15    5.50056510176521e-17    4.71361127428912e-05    0.000396684199006313
6.01040950000005    0.000290820773247244    3.11375172439079e-16    5.26247919322502e-16    8.09810603646834e-17    6.12216885583349e-07    0.000291432990133746
6.36396300000006    0.000217753372110428    4.32521515856436e-16    2.17020409989813e-16    1.39404496085783e-16    2.64803060467437e-07    0.000218018175171684
6.71751650000007    0.000147411364776517    5.82062759339681e-16    1.61541183920148e-15    4.287103339956e-17    2.14721800544489e-05    0.000168883544833206
7.07107000000009    3.92019142822711e-05    2.13148962547003e-15    9.34938632334571e-16    1.97823352080827e-17    0.000106022253707024    0.000145224167992381
7.4246235000001    8.7785887369063e-06    2.15452375288531e-15    6.7044217924126e-16    1.69152697550037e-17    0.000133917557996565    0.000142696146736313
7.77817700000012    8.43000571911967e-05    1.48694462846969e-15    4.5099785408336e-16    2.00798918116751e-17    4.65330847752134e-05    0.000130833141968368
8.13173050000013    0.000102811880006395    5.07350158045397e-16    3.16446337247811e-16    2.60942253730368e-17    3.45173589641734e-06    0.000106263615903662
8.48528400000015    8.45968017048453e-05    5.44621515559334e-17    2.57520002609289e-16    5.51558603330856e-17    1.00018449423161e-10    8.45969017236619e-05
8.83883750000016    6.70500801869043e-05    1.1622901344828e-15    2.93333739403001e-16    5.19549777123973e-17    1.33887347955132e-06    6.83889536679632e-05
9.19239100000018    3.79540096504251e-05    1.33428045058873e-15    1.12255753082272e-15    1.47535248735254e-17    1.95392728393887e-05    5.74932824922854e-05
9.54594450000019    2.12209436970082e-06    2.45359546202803e-15    2.82389465027352e-16    1.75274025130643e-17    5.18464892881998e-05    5.39685836606541e-05
9.89949800000021    1.56248305976147e-05    2.00026560446623e-15    2.91679974234288e-16    1.61491827328611e-17    3.74553612021202e-05    5.3080191802043e-05
