#t    <phi>    <pi>    <phi^2>    <pi^2>    rms(phi)    rms(pi)
0    -7.8291352508437e-24    -6.00998413808059e-24    4.08146873503705e-15    4.64287606446354e-13    6.38863736256571e-08    6.81386532334147e-07
0.5    -1.2298953296146e-15    1.17225401988106e-15    1.66587778465932e-15    2.25372893480423e-13    4.08151661108872e-08    4.74734550544221e-07
1    -6.49907976628203e-16    -1.02158338202199e-14    9.24731888354927e-16    1.05298009647742e-13    3.04094046037558e-08    3.24496547975078e-07
1.5    8.06866645354328e-16    2.12800943278054e-15    8.12980360441471e-16    4.55206765344057e-14    2.85128104619918e-08    2.13355751116312e-07
2    9.30771623910111e-16    9.17706570111272e-16    1.28384786481554e-15    1.52235610671634e-14    3.58308228319632e-08    1.23383795804649e-07
2.49999999999999    1.23558074654647e-15    -1.81363968811289e-15    1.28030515364508e-15    1.26809865333073e-14    3.57813520376897e-08    1.12609886481194e-07
2.99999999999998    -8.71457152111148e-16    -3.6249043635671e-16    5.10673860435576e-16    1.90471989603508e-14    2.25980941770667e-08    1.38011589949362e-07
3.49999999999997    1.23251454075335e-16    -1.05577845562672e-14    1.88941179687963e-16    3.7145770207897e-14    1.37455876443302e-08    1.92732379759855e-07
3.99999999999996    4.46310907477346e-16    -9.17534727474917e-15    1.50373384430367e-16    3.23778495592053e-14    1.22626825951896e-08    1.79938460478034e-07
4.49999999999995    6.28758053387887e-16    -1.57382805328495e-15    1.56908842152681e-16    2.11340419214823e-14    1.25263259638523e-08    1.45375520365302e-07
4.99999999999994    -2.5790271733056e-16    4.67054090510689e-15    2.43648457299972e-16    9.65494022240992e-15    1.56092426882271e-08    9.82595553745787e-08
5.49999999999993    1.82045417255341e-15    2.92248402299716e-15    6.03480795428689e-16    3.76248009063351e-15    2.45658461166858e-08    6.13390584426718e-08
5.99999999999992    2.29450645534633e-15    -5.62806143115455e-15    2.64693321816505e-16    1.24723893837553e-14    1.62693983237396e-08    1.1167985218362e-07
6.49999999999991    -1.15014344198279e-15    1.17149681559987e-14    8.78476989317248e-17    2.05852236746869e-14    9.37271033008721e-09    1.43475515941525e-07
6.9999999999999    -1.38400145646879e-15    3.42175427175395e-15    9.04275160022404e-17    1.91955868925744e-14    9.50933835775331e-09    1.38548139260599e-07
7.49999999999988    -1.24726331915988e-15    1.67114536721038e-15    9.79843524570671e-17    1.41359405734601e-14    9.89870458479621e-09    1.18894661669312e-07
7.99999999999987    -5.34743873506296e-16    -1.03224329816948e-14    1.38602623005311e-16    8.1460317314691e-15    1.17729615222896e-08    9.02553695436953e-08
