1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 6.086988788865617e-19 1.85434642012205e-17 18
0.5 3.251099984352647e-18 1.385072956039919e-16 62
0.75 5.468023026919754e-18 3.459590741734631e-16 98
1 1.241756428206027e-17 1.114031528115999e-15 210
1.25 1.652334021892557e-17 2.4008200592737e-15 350
1.5 1.386421172113179e-17 4.048303852945659e-15 450
1.75 2.041434786831885e-17 5.898532215090285e-15 602
2 4.034136117812642e-17 7.91534495510771e-15 762
2.25 1.104393474628281e-16 1.032599584079553e-14 1142
2.5 2.032428522376614e-16 1.008649690264874e-14 1250
2.75 3.139321529460327e-16 8.682645192450126e-15 1458
3 4.218161238864145e-16 9.180500312169536e-15 1814
3.25 5.389725014597102e-16 1.043126037031034e-14 2178
3.5 6.305308006163162e-16 1.338950862394019e-14 2498
3.75 6.114616213026661e-16 1.705279450650666e-14 2622
4 3.441898643206705e-16 1.225251887453565e-14 3338
4.25 2.353625195907594e-28 9.792318022558725e-27 3722
4.5 2.218565575394853e-28 9.711135496191138e-27 4170
4.75 1.961141623162418e-28 7.7418614078907e-27 4358
5 1.867717191891843e-28 7.81467960923021e-27 5034
5.25 1.597673727286773e-28 7.393348730446821e-27 5714
5.5 1.248739762720398e-28 6.439761627164234e-27 5982
5.75 1.020210947213886e-28 5.91239855529526e-27 6602
6 7.688959805163897e-29 4.761941404457513e-27 7130
6.25 6.389124665523523e-29 3.705938280836217e-27 8034
6.5 5.284003976494299e-29 2.420395856105674e-27 8606
6.75 3.803686948759822e-29 1.681070655748196e-27 9066
7 2.298475834177017e-29 1.192091402917222e-27 9962
7.25 1.132067647545119e-29 7.190476378219968e-28 10550
7.5 5.401042835155935e-30 3.068167766010348e-28 11226
7.75 1.617608449664049e-30 7.649640671490026e-29 12146
8 4.725993106329809e-32 2.26499548183357e-30 12606
8.25 1.554737767745318e-41 1.252006660003982e-39 13802
8.5 1.032319906068093e-41 8.87034375126391e-40 14754
8.75 6.891092971530851e-42 6.069607959594995e-40 15194
9 4.727043633959138e-42 4.344193370153634e-40 16454
9.25 3.176859158713791e-42 2.901956209394675e-40 17154
9.5 2.110702677992701e-42 2.073501270675889e-40 18266
9.75 1.288702723798697e-42 1.361279036338411e-40 18750
10 8.334171829570893e-43 8.988114543788002e-41 20234
10.25 4.948285283242125e-43 5.37464345719945e-41 21450
10.5 2.521418037537199e-43 3.026578589897327e-41 21962
10.75 1.219274572967817e-43 1.577014781179799e-41 23462
11 5.181276599816854e-44 6.389344482816217e-42 24042
11.25 1.80841480136533e-44 2.125897610364802e-42 25946
11.5 3.737351264536291e-45 4.840300010364325e-43 26118
11.75 6.175941495430172e-46 8.038530122821825e-44 27506
12 3.817013050477926e-46 4.747556796108137e-44 29066
12.25 3.960372646710835e-46 5.112009723893575e-44 30450
12.5 4.093377883854605e-46 5.390566861940571e-44 31742
12.75 4.260539074575674e-46 5.496091776470826e-44 32250
13 4.52333149142258e-46 6.06254433728149e-44 34250
13.25 4.66737183775968e-46 6.478507326984671e-44 35454
13.5 4.839123952028876e-46 6.725293675396439e-44 36434
13.75 5.021160167440677e-46 7.244627162268959e-44 37682
14 5.136574383341454e-46 7.687638650238126e-44 39294
14.25 5.491377936942537e-46 8.337528921113503e-44 41426
14.5 5.710645887180914e-46 8.610230445752796e-44 42066
14.75 6.000612809470566e-46 8.998084230600759e-44 43490
15 6.229663965658153e-46 9.726325428884439e-44 45702
15.25 6.505023965368238e-46 1.018063861236049e-43 46634
15.5 6.725286190536843e-46 1.092874028120759e-43 48554
15.75 6.918766703195236e-46 1.097995800443513e-43 48870
