#t    E^kin_scal0    E^grad_scal0    E^kin_scal1    E^grad_scal1    Vpot_term_0    Vpot_term_1    E_tot
0    0.125000208327259    6.15714514064603e-14    2.56972496663112e-13    1.9252335057585e-14    0.250000000000023    2.49375141472869e-13    0.37500020832787
0.5    0.0694755884339214    1.21585174158925e-14    5.66053518593748e-14    3.49328753770285e-15    0.0720493751837177    5.40600987937313e-14    0.141524963617765
1    0.0307231365768008    3.1727702855981e-15    1.32927631547378e-14    1.00486221178382e-15    0.0110934041569219    1.19075080655321e-14    0.0418165407337521
1.5    0.0115974306496064    1.29981234168131e-15    3.27193299956028e-15    5.78416541003261e-16    0.000652946243812596    2.75323213626977e-15    0.0122503768934269
2    0.00452445011805058    7.09444560778486e-16    8.41931709735724e-16    5.88154965995447e-16    1.65933242699017e-06    2.06394717298753e-16    0.00452610945047992
2.49999999999999    0.0021121270359723    4.31077317615748e-16    5.25507449605751e-16    4.15601281339746e-16    1.09789512572048e-05    5.82587465488614e-16    0.00212310598723146
2.99999999999998    0.000926178583966452    2.60934865751282e-16    6.40841965554123e-16    1.39003444594742e-16    0.000283014133764611    1.17114281453566e-15    0.00120919271773327
3.49999999999997    8.53156176716804e-05    1.70367540174801e-16    1.09803173860239e-15    5.68437387696525e-17    0.0008741787778667    7.32026099987311e-16    0.000959494395540438
3.99999999999996    0.000183176409572373    1.13787866313067e-16    7.95701413569822e-16    3.7212338939754e-17    0.000746222896378979    5.35669419102874e-16    0.000929399305952834
4.49999999999995    0.000520883059936938    8.14559181265357e-17    4.29540287749104e-16    2.6854298191231e-17    0.000181548145136489    2.73485515508354e-16    0.000702431205074239
4.99999999999994    0.000430713001502585    6.34960668335065e-17    1.63872399468555e-16    3.95823134522156e-17    8.98592971328549e-06    9.56113587619809e-17    0.000439698931216233
5.49999999999993    0.000280080450444933    4.79516718438163e-17    5.3072832442021e-17    5.71857128443911e-17    1.14171345503166e-12    8.75292972103281e-20    0.000280080451586805
5.99999999999992    0.000183413337065138    3.63674714697473e-17    1.5829707718772e-16    1.72983533935513e-17    5.98600614177379e-06    8.62983821345891e-17    0.00018939934320721
6.49999999999991    8.01415232922364e-05    2.59281517766855e-17    2.35418921827454e-16    9.17696736146309e-18    6.17956370779808e-05    8.87703853221887e-17    0.000141937160370577
6.9999999999999    5.48795537462381e-07    1.92778951450947e-17    1.95221557273961e-16    5.34728402308764e-18    0.000130690297028474    1.35919721679727e-16    0.000131239092566292
7.49999999999988    4.86376132099955e-05    1.57183005671643e-17    1.27483329146216e-16    4.88086926406722e-18    7.65023995477324e-05    1.13200549912811e-16    0.000125140012757989
7.99999999999987    8.74316140830035e-05    1.35846906083134e-17    6.33036061742294e-17    7.16811652362199e-18    1.17893133524227e-05    6.50368921134756e-17    9.92209274355753e-05
8.49999999999986    7.27425495145474e-05    1.16494660262537e-17    3.33960703489456e-17    1.05606791045146e-17    1.53109191266613e-07    1.05801980129796e-17    7.28956587058802e-05
8.99999999999985    5.44670639970922e-05    9.83333884479592e-18    1.17611642342024e-17    1.80090900486351e-17    6.62461108923779e-08    2.56007142716791e-17    5.45333101080498e-05
9.49999999999984    3.68727058062929e-05    7.68543021270522e-18    8.96482471855577e-17    5.54372348502006e-18    5.3711373241414e-06    4.36460118523807e-17    4.22438431305808e-05
9.99999999999983    9.80578309682719e-06    5.85639271644481e-18    7.15939747339422e-17    2.55478660337427e-18    2.65203946196156e-05    1.16545906402468e-16    3.63261777166393e-05
10.4999999999998    2.19588573929452e-06    4.87146585752598e-18    4.95459122803455e-17    2.18440919025032e-18    3.34979767449161e-05    1.23457937590712e-16    3.56938624843906e-05
10.9999999999998    2.10867603789517e-05    4.35777721193591e-18    3.03100749627066e-17    2.60413277852398e-18    1.16397714380634e-05    8.68585381113404e-17    3.27265318171392e-05
11.4999999999998    2.571744819282e-05    4.01857491153928e-18    2.06928380980269e-17    3.3565999183829e-18    8.6342785535996e-07    2.98997057837968e-17    2.65808760482379e-05
11.9999999999998    2.11612950045652e-05    3.6404731111003e-18    1.78075353325022e-17    7.12822970531771e-18    2.50247497614729e-11    3.51451899828788e-19    2.11613200293439e-05
12.4999999999998    1.67722839348984e-05    3.05941321116522e-18    3.00963869582192e-17    6.73409392460105e-18    3.34900562740464e-07    7.49480839846178e-17    1.71071844977537e-05
12.9999999999998    9.49422711832114e-06    2.45516062733544e-18    9.29172618132586e-17    1.90819347136076e-18    4.88758053734995e-06    8.54576339047382e-17    1.43818076558538e-05
13.4999999999998    5.30917050042218e-07    1.99779377984766e-18    2.06201920198835e-17    2.27761675491264e-18    1.29692142495304e-05    1.75811123455611e-16    1.35001312997733e-05
13.9999999999997    3.90834368674515e-06    1.77171069308407e-18    1.99101577393079e-17    2.1002169064112e-18    9.36957862744396e-06    1.44161342409019e-16    1.3277922314357e-05
14.4999999999997    1.00047859671208e-05    1.69806323789054e-18    8.68180161263335e-17    1.29381437222247e-18    1.78498286020017e-06    1.47594718739425e-17    1.17897688274256e-05
14.9999999999997    9.81203975615213e-06    1.60679004226849e-18    3.59239265874689e-17    1.81696318821608e-18    3.57210241716917e-08    3.23602290864658e-18    9.84776078036641e-06
15.4999999999997    8.2322536600038e-06    1.45006089458567e-18    1.27207879241029e-17    1.15934472144984e-17    4.74928611053329e-09    2.13466166490504e-17    8.23700294616144e-06
15.9999999999997    6.29799664926652e-06    1.24071420058764e-18    1.83331543765819e-16    1.06984767565949e-18    6.91857136984064e-07    9.37520011821715e-18    6.9898537864456e-06
16.4999999999998    2.18386846054214e-06    9.7837494086621e-19    1.45364678504738e-17    3.61142310036214e-18    4.09304784539461e-06    2.58837054700342e-16    6.27691630621471e-06
16.9999999999999    1.58475738297801e-07    8.64114385486804e-19    3.03944107684391e-17    2.83176132555934e-18    6.01746431307436e-06    2.47817750424397e-16    6.17594005165407e-06
17.4999999999999    3.47567797441558e-06    8.22607445577061e-19    9.15598797077436e-17    2.33827950251923e-18    2.42406475004478e-06    1.18347752660859e-16    5.89974272467343e-06
18    4.95893975549064e-06    7.97287446350215e-19    1.06494954009257e-17    4.18744896072904e-18    2.16829957128561e-07    8.54761986384661e-17    5.17576971272031e-06
18.5000000000001    4.44532430833284e-06    7.63348620585316e-19    4.18618947036319e-17    6.50843819509954e-18    5.38641639050078e-11    1.570710980642e-18    4.44537817254745e-06
19.0000000000002    3.78708893015324e-06    6.82314123566011e-19    2.76754585860668e-17    1.65257077237493e-17    5.49792896880651e-08    1.87627561781581e-16    3.84206822007382e-06
19.5000000000002    2.40059347175233e-06    5.65157516739063e-19    9.69961254127939e-17    6.14165463127844e-18    9.92317717449335e-07    3.26546626601898e-16    3.39291118963191e-06
20.0000000000003    2.35011691146238e-07    4.74525273899177e-19    8.84230230124735e-17    4.85522867671679e-18    2.98619225175649e-06    4.08274067049194e-16    3.22120394340476e-06
20.5000000000004    7.63464605278005e-07    4.40263436989858e-19    1.20593294298733e-16    4.23221007999248e-18    2.42911984605128e-06    3.28339781970388e-16    3.19258445178289e-06
21.0000000000005    2.43235785927172e-06    4.37023609229358e-19    2.72025337147233e-16    5.39602137689472e-19    5.24210865337537e-07    1.4459165261887e-17    2.95656872489672e-06
21.5000000000006    2.59213682656846e-06    4.25766667618579e-19    1.06885238794045e-16    1.07435852322985e-18    1.37067943880851e-08    7.07365951104432e-18    2.605843621072e-06
22.0000000000006    2.29001707109094e-06    4.06827432891361e-19    4.7720520745918e-17    2.96276585989952e-17    6.73958474913241e-10    4.36013365598133e-17    2.29069102968721e-06
