1:binCentralValue 2:valuesAverage 3:multiplicity
4.75 1.2854385326236e-27 4358
5 1.403271197151103e-27 5034
5.25 1.234909025748595e-27 5714
5.5 9.776748883201373e-28 5982
5.75 8.698914467439044e-28 6602
6 7.167424308164832e-28 7130
6.25 4.746713076231671e-28 8034
6.5 3.026467810349472e-28 8606
6.75 1.792848198343126e-28 9066
7 9.9354163636758e-29 9962
7.25 4.312837219055329e-29 10550
7.5 1.470772942499349e-29 11226
7.75 2.937702598482563e-30 12146
8 7.171765273736061e-32 12606
8.25 1.000218164946694e-40 13802
8.5 7.634660421697609e-41 14754
8.75 6.046523202714922e-41 15194
9 5.151403009104753e-41 16454
9.25 3.896621286948149e-41 17154
9.5 2.877331894038272e-41 18266
9.75 1.923195394927989e-41 18750
10 1.267312841850383e-41 20234
10.25 7.807337282362546e-42 21450
10.5 4.346475791914967e-42 21962
10.75 2.389520659764459e-42 23462
11 1.100915427499621e-42 24042
11.25 4.92572849190031e-43 25946
11.5 2.259195752859995e-43 26118
11.75 1.75345647679993e-43 27506
12 1.95136787429601e-43 29066
12.25 2.129079764944661e-43 30450
12.5 2.424743810143642e-43 31742
12.75 2.649044673078038e-43 32250
13 2.945786573297948e-43 34250
13.25 3.289347747993459e-43 35454
13.5 3.754507874640199e-43 36434
13.75 4.148833991803251e-43 37682
14 4.702326765275344e-43 39294
14.25 5.231596351977929e-43 41426
14.5 5.66861124236258e-43 42066
14.75 6.216073528312117e-43 43490
15 7.005914151284706e-43 45702
15.25 7.570936522809904e-43 46634
15.5 8.314210128934519e-43 48554
15.75 8.683264788711743e-43 48870
16 9.267332580530327e-43 50963
16.25 9.550406690341517e-43 51576
16.5 9.356840294558831e-43 49316
16.75 9.561800780716156e-43 49344
17 9.397350159189688e-43 47192
17.25 9.777301035534143e-43 47576
17.5 9.570142139071996e-43 45348
17.75 9.755155844828341e-43 44060
18 9.863875699941828e-43 43872
18.25 9.707226521231997e-43 41756
18.5 1.021208183950472e-42 41528
18.75 9.832582914991836e-43 39300
19 9.808203365814213e-43 38276
19.25 9.942382477099062e-43 36900
19.5 9.797698891642072e-43 34724
19.75 9.921272024999325e-43 33960
20 9.598694958375553e-43 32144
20.25 9.608720015745785e-43 30704
20.5 9.428300099933795e-43 28896
20.75 9.098799306750439e-43 26924
21 9.025206066809089e-43 25656
21.25 8.586963237747839e-43 23228
21.5 8.428648511130436e-43 21816
21.75 7.75636283533001e-43 19472
22 7.249105801892521e-43 17696
22.25 6.534644662058474e-43 15588
22.5 5.658660804576192e-43 13760
22.75 4.784918809431995e-43 11565
23 4.268157379349281e-43 10016
23.25 3.784061099978581e-43 8652
23.5 3.308433237310411e-43 7652
23.75 2.995503109518582e-43 6542
24 2.4232353167794e-43 5478
24.25 2.253827228875095e-43 4886
24.5 2.035106875983197e-43 4068
24.75 1.578835967121947e-43 3326
25 1.298321292476016e-43 2696
25.25 1.058304683629003e-43 2304
25.5 8.574403281928821e-44 1934
25.75 6.523791320956786e-44 1344
26 4.31559122634437e-44 848
26.25 4.937295635337075e-44 888
26.5 3.548362290187096e-44 584
26.75 2.247077338392632e-44 344
27 5.883960298525544e-45 102
27.25 4.443983765750363e-45 104
27.5 1.102351387622469e-45 24
27.75 3.375952130814931e-48 1

0.25 5.28310777686919e-29 18
0.5 1.548610217212109e-28 62
0.75 2.383532426213549e-28 98
1 8.680485539276769e-28 210
1.25 1.29838369997955e-27 350
1.5 1.430318726973486e-27 450
1.75 1.225629237637149e-27 602
2 2.309295263915661e-27 762
2.25 2.792566103552061e-27 1142
2.5 2.519731823682849e-27 1250
2.75 2.376138932094218e-27 1458
3 2.526266938598018e-27 1814
3.25 2.567599531309102e-27 2178
3.5 2.508233423662448e-27 2498
3.75 2.283435649485078e-27 2622
4 2.391536456683899e-27 3338
4.25 1.918888397562718e-27 3722
4.5 1.616475216410032e-27 4170
4.75 1.304632734341143e-27 4358
5 1.15590331021124e-27 5034
5.25 1.060490010432076e-27 5714
5.5 9.057966592002642e-28 5982
5.75 8.132288198247495e-28 6602
6 6.044063415272953e-28 7130
6.25 4.040658351480085e-28 8034
6.5 2.465126151391633e-28 8606
6.75 1.531674359672537e-28 9066
7 8.236990531358109e-29 9962
7.25 3.637589476766529e-29 10550
7.5 1.190560834852494e-29 11226
7.75 2.104233645394106e-30 12146
8 5.042712253354965e-32 12606
8.25 9.713331330778288e-41 13802
8.5 7.35768888775582e-41 14754
8.75 5.672998032335055e-41 15194
9 4.834423240575197e-41 16454
9.25 3.729322414998346e-41 17154
9.5 2.722072029464014e-41 18266
9.75 1.795211260774379e-41 18750
10 1.173836109101338e-41 20234
10.25 7.44869989456319e-42 21450
10.5 3.999657062790473e-42 21962
10.75 2.19040985882419e-42 23462
11 9.933039098001341e-43 24042
11.25 4.446179448677877e-43 25946
11.5 2.057702747527399e-43 26118
11.75 1.601184364193035e-43 27506
12 1.740886108371378e-43 29066
12.25 1.943571631896789e-43 30450
12.5 2.171873681910536e-43 31742
12.75 2.413049551265548e-43 32250
13 2.739600921242922e-43 34250
13.25 2.995870285197878e-43 35454
13.5 3.46391626298601e-43 36434
13.75 3.780635941444209e-43 37682
14 4.192748371687472e-43 39294
14.25 4.880837269905182e-43 41426
14.5 5.205189184819223e-43 42066
14.75 5.811905788121494e-43 43490
15 6.468788139777842e-43 45702
15.25 7.007146720718384e-43 46634
15.5 7.683389527251694e-43 48554
15.75 8.012110036692769e-43 48870
16 8.60451510320046e-43 50963
16.25 8.926247614968285e-43 51576
16.5 8.664985395712134e-43 49316
16.75 8.921408358652258e-43 49344
17 8.769910617047355e-43 47192
17.25 9.167085002454606e-43 47576
17.5 8.976218614051516e-43 45348
17.75 9.081495455496249e-43 44060
18 9.343782496004245e-43 43872
18.25 9.047809083993592e-43 41756
18.5 9.413156722693078e-43 41528
18.75 9.229626236394827e-43 39300
19 9.279780583326131e-43 38276
19.25 9.339603696945797e-43 36900
19.5 9.077533184099931e-43 34724
19.75 9.204650185090694e-43 33960
20 9.077400189487135e-43 32144
20.25 8.978622919518801e-43 30704
20.5 9.043011677208705e-43 28896
20.75 8.540661503489061e-43 26924
21 8.399579893640792e-43 25656
21.25 7.981452155810186e-43 23228
21.5 7.782845160455003e-43 21816
21.75 7.130478179495723e-43 19472
22 6.804934929249204e-43 17696
22.25 6.116376855820553e-43 15588
22.5 5.380507756494903e-43 13760
22.75 4.65431711591138e-43 11565
23 3.996488448764395e-43 10016
23.25 3.632347687806801e-43 8652
23.5 3.144712384642573e-43 7652
23.75 2.891594156458542e-43 6542
24 2.314353993639869e-43 5478
24.25 2.128878776482956e-43 4886
24.5 1.713744764407613e-43 4068
24.75 1.590527830369465e-43 3326
25 1.265981755078108e-43 2696
25.25 1.091623717805354e-43 2304
25.5 8.161456213604198e-44 1934
25.75 5.89743739294519e-44 1344
26 4.034397492322676e-44 848
26.25 4.42433285608685e-44 888
26.5 3.210402254395059e-44 584
26.75 2.034423555412335e-44 344
27 4.894286468053996e-45 102
27.25 4.567467343669393e-45 104
27.5 7.748224952500885e-46 24
27.75 1.44349265401738e-48 1

