#t    a    aDot    H
0    1    0.827097369034944    0.827097369034944
0.5    1.49562906198281    1.13654381502879    0.75991022367674
1    2.09594128075681    1.2132386031516    0.578851427895688
1.5    2.67001862787736    1.06562660471688    0.399108303436834
2    3.16126932853292    0.907962714479861    0.287214602781481
2.49999999999999    3.58663777657647    0.800436345309921    0.223171782368822
2.99999999999998    3.96893399673814    0.73969848560625    0.186372080315311
3.49999999999997    4.34504704847149    0.789725023046402    0.181752927928413
3.99999999999996    4.7770877841298    0.939528442462226    0.196673891064652
4.49999999999995    5.2667404709529    0.992836300155839    0.188510579860831
4.99999999999994    5.75114030737016    0.936632153549835    0.162860250922679
5.49999999999993    6.20215168179517    0.869356982551304    0.1401702227153
5.99999999999992    6.622658501872    0.815115637040907    0.123079823126997
6.49999999999991    7.02232604625959    0.793368704393839    0.11297805017419
6.9999999999999    7.43053094543736    0.854159014223837    0.114952621891485
7.49999999999988    7.88089600366984    0.938277147685178    0.119057166500898
7.99999999999987    8.35356751825323    0.938706441251339    0.112371922439148
8.49999999999986    8.81251311851251    0.895417346623604    0.101607490914549
8.99999999999985    9.24940308262436    0.85315232786425    0.0922386364009755
9.49999999999984    9.66704856550628    0.820231234383902    0.0848481549281371
9.99999999999983    10.0760532945174    0.826336510978264    0.0820099384972379
10.4999999999998    10.5039266936149    0.890165174097186    0.0847459431184241
10.9999999999998    10.9614145692394    0.928251068212183    0.0846835107228859
11.4999999999998    11.4220124609663    0.908338821092686    0.0795252871765681
11.9999999999998    11.8677942167745    0.874947470285342    0.0737245232183626
12.4999999999998    12.2975104179081    0.844678022532762    0.068686912539851
12.9999999999998    12.7145096967941    0.827893189438041    0.0651140475866553
13.4999999999998    13.1331656679704    0.855801997438208    0.065163420539601
13.9999999999997    13.5746357166777    0.906769336329663    0.066798797054687
14.4999999999997    14.0317127549832    0.912964738885899    0.0650643834311441
14.9999999999997    14.4825869804377    0.888861687520763    0.0613745105568081
15.4999999999997    14.9204141101992    0.862809321307095    0.0578274379608071
15.9999999999997    15.3459761450593    0.840797995991101    0.0547894762798649
16.4999999999998    15.7647912010044    0.840847501178752    0.0533370528323384
16.9999999999999    16.1939348532866    0.880082894328207    0.0543464514524457
17.4999999999999    16.6428619668412    0.908554982977781    0.0545912707074039
18    17.0955720919149    0.897905830434331    0.052522713226952
18.5000000000001    17.5390481222376    0.875863481401943    0.049937914264084
19.0000000000002    17.9716537449776    0.854922652003683    0.0475706167131448
19.5000000000002    18.395113263095    0.841706872612802    0.0457570910586056
20.0000000000003    18.8184978357686    0.858310375613142    0.0456099303517062
20.5000000000004    19.2571399874074    0.894802464174969    0.0464660102569799
21.0000000000005    19.7078745565926    0.901886070271619    0.0457627263499058
21.5000000000006    20.1551095787402    0.885557598269668    0.0439371264547112
22.0000000000006    20.5931452737182    0.866756549806306    0.0420895661291962
22.5000000000007    21.022181210029    0.850197827455018    0.0404428931023302
23.0000000000008    21.4456996310518    0.848322694255721    0.0395567740316298
23.5000000000009    21.8758346744604    0.875974654887885    0.0400430277483569
24.000000000001    22.3208058798972    0.898978509873858    0.0402753607871975
24.500000000001    22.7695647596441    0.892487080505977    0.0391964927712534
25.0000000000011    23.2117724017913    0.876116316248214    0.0377444815967867
25.5000000000012    23.6457773018906    0.860112008751729    0.0363748671811672
26.0000000000013    24.072618307382    0.84916233980161    0.0352750302837315
26.5000000000013    24.4986869022461    0.860116008498896    0.0351086575346223
27.0000000000014    24.935979356005    0.888486280546407    0.0356306952240255
27.5000000000015    25.3832555075157    0.895694338426706    0.0352868188306855
28.0000000000016    25.8284155236061    0.883585884896254    0.0342098369947894
28.5000000000017    26.2665124895629    0.868890544286024    0.0330797834174325
29.0000000000017    26.6974999728039    0.855592568054776    0.0320476662206703
29.5000000000018    27.1237889966625    0.852891644494905    0.0314444137800899
30.0000000000019    27.5546306481309    0.873783444602447    0.0317109474541884
30.500000000002    27.9973142815932    0.893283954066727    0.0319060587412848
31.000000000002    28.443688993124    0.889161411091651    0.0312604110988064
31.5000000000021    28.8850960404128    0.876198490268139    0.0303339303093283
32.0000000000022    29.3199243669974    0.863247290991854    0.0294423437177597
32.5000000000021    29.7488498444227    0.853845417096835    0.0287017959202518
33.000000000002    30.1766565830242    0.86142852885538    0.028546188557548
33.5000000000019    30.6131680911919    0.884563971847392    0.0288948850119796
34.0000000000018    31.058254332555    0.89172141329293    0.0287112534962481
34.5000000000017    31.5020694096108    0.882277522327103    0.0280069702994792
35.0000000000016    31.9401840365034    0.870224785066542    0.0272454530653921
35.5000000000015    32.3724222115656    0.859098484953379    0.0265379735670953
36.0000000000014    32.8005446410101    0.855991474466129    0.0260968677146871
36.5000000000013    33.2319099312217    0.872434242965955    0.0262529070634696
37.0000000000012    33.6730956706067    0.889485045498921    0.026415303606177
37.5000000000011    34.117867146566    0.886905710780389    0.0259953445205222
38.000000000001    34.5587224629072    0.876223300362418    0.0253546207126983
38.5000000000009    34.99409265916    0.865347092581834    0.0247283763294066
39.0000000000008    35.4244345556695    0.857072065501394    0.02419437533024
39.5000000000007    35.8534663180893    0.862426216864552    0.0240541935112541
40.0000000000006    36.2894728655133    0.881877640120229    0.0243011973028216
40.5000000000005    36.7330387483427    0.888941266027027    0.024200047050753
41.0000000000004    37.1759078596607    0.881345241346195    0.0237074302172601
41.5000000000003    37.6140245759993    0.871137124692332    0.0231599020448396
42.0000000000002    38.0471331511717    0.861563684128735    0.0226446413375091
42.5000000000001    38.4765635639057    0.85824719604345    0.0223057133108571
43    38.9083347033614    0.871527582716133    0.0223995087263614
43.4999999999999    39.3484586092644    0.886752821869689    0.0225358972933417
43.9999999999998    39.7920717863246    0.885269330076867    0.0222473796999208
44.4999999999997    40.2325230131613    0.876225930734769    0.0217790450389633
44.9999999999996    40.6682766828938    0.866852072668426    0.0213151906934145
45.4999999999995    41.0996455892563    0.859438579851592    0.0209110946707593
45.9999999999994    41.5295932019465    0.863217156093808    0.0207855914190209
46.4999999999993    41.9652493832633    0.879913191098579    0.0209676626263422
46.9999999999992    42.4076912860629    0.886875218832792    0.0209130747734022
47.4999999999991    42.8498558927816    0.880646070081886    0.0205519027248406
47.999999999999    43.2879686053999    0.871800059934147    0.0201395465765837
48.4999999999989    43.7217181759928    0.863394255081976    0.0197474914322113
48.9999999999988    44.1521322796045    0.859973424445002    0.01947750606922
49.4999999999987    44.5842304872276    0.870882683089943    0.0195334241181853
49.9999999999986    45.0235590800922    0.884680059250505    0.0196492697895507
50.4999999999985    45.4662911870432    0.884022868711738    0.019443478797841
50.9999999999984    45.9064328564346    0.876219388251969    0.0190870719794808
51.4999999999983    46.342472130337    0.867983877328699    0.018729770714163
51.9999999999982    46.774621105152    0.861254437287988    0.0184128575911249
52.4999999999981    47.2052839867407    0.863867049383584    0.0183002193065131
52.999999999998    47.6406854150643    0.878407721463531    0.0184381839558037
53.4999999999979    48.0822572972522    0.885269751449454    0.0184115680338503
53.9999999999978    48.523874303058    0.880100966762827    0.0181374834430185
54.4999999999977    48.961980568124    0.872303418578701    0.017815934087164
54.9999999999976    49.3962221340133    0.864809452974318    0.017507603124548
55.4999999999975    49.8274058112164    0.861346292859574    0.017286597181539
55.9999999999974    50.2597766077754    0.870406554235871    0.0173181540584328
56.4999999999973    50.6984848612418    0.883042792831118    0.017417538122647
56.9999999999972    51.1405197423256    0.883036688548829    0.0172668696563519
57.4999999999971    51.5804157677353    0.876208956028424    0.0169872410485011
57.999999999997    52.0166759581406    0.868866353008081    0.0167036116207672
58.4999999999969    52.4494390453454    0.862697773044196    0.016448179213096
58.9999999999968    52.8806808512072    0.864419805261024    0.0163466088436585
59.4999999999967    53.315891442746    0.877211957339587    0.0164531049486736
59.9999999999966    53.7567645945569    0.883975693006101    0.016443989880589
60.4999999999965    54.1979406528619    0.879662268622823    0.0162305478404994
60.9999999999964    54.6360394207199    0.872698405305317    0.0159729441328128
61.4999999999963    55.0706713251935    0.86594235693635    0.0157242019408651
61.9999999999962    55.5024790168941    0.862481135809986    0.0155395065425359
62.4999999999961    55.9350870042534    0.870050362364953    0.0155546439446638
62.999999999996    56.3732942629819    0.881700179426106    0.0156403877217636
63.4999999999959    56.8147557107476    0.882225337156212    0.01552810227061
63.9999999999958    57.2544498183463    0.876196093226966    0.0153035457681789
64.4999999999961    57.6908857992346    0.869575723532473    0.0150730173663586
