1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 4.388971630956579e-17 6.511541096027648e-17 18
0.5 2.017761685326373e-16 6.85169645482068e-16 62
0.75 3.902692352291184e-16 1.096456602348246e-15 98
1 1.096440973971445e-15 5.198661237480572e-15 210
1.25 2.75252055162651e-15 1.197903072286982e-14 350
1.5 3.161077133851597e-15 1.739520483094479e-14 450
1.75 4.763907851738929e-15 3.008030878371899e-14 602
2 7.074800712875332e-15 4.819042651944559e-14 762
2.25 1.105954301571695e-14 8.716151746315749e-14 1142
2.5 1.09695051584192e-14 1.168586784670055e-13 1250
2.75 1.3965336737338e-14 1.617531047032005e-13 1458
3 1.787396028812776e-14 2.302762995969168e-13 1814
3.25 2.122353940479513e-14 2.935370222022409e-13 2178
3.5 2.596160839565056e-14 3.953699363927573e-13 2498
3.75 2.676635126445167e-14 4.575638461907396e-13 2622
4 1.621783178228582e-14 3.136044548650143e-13 3338
4.25 4.918911702604479e-33 2.350891756245574e-33 3722
4.5 7.798871218894891e-33 3.49057695151455e-33 4170
4.75 8.054279843820515e-33 2.224478660634823e-33 4358
5 1.032873170692835e-32 1.680691149116419e-33 5034
5.25 5.289215709667641e-33 2.49796344475809e-33 5714
5.5 8.40309210440405e-33 9.580705716548871e-33 5982
5.75 5.319912834201705e-33 4.289803314608803e-33 6602
6 1.235988682182202e-32 7.224391040787212e-33 7130
6.25 1.051212683410753e-32 2.57404943320316e-33 8034
6.5 2.551370425357173e-32 3.121248477741161e-33 8606
6.75 5.081476693630777e-33 3.944226699964975e-33 9066
7 1.086276545995056e-32 5.560747741352986e-33 9962
7.25 1.908160278583195e-32 5.861882618971957e-33 10550
7.5 1.177529037221375e-32 4.450001879872437e-33 11226
7.75 1.153239385840537e-32 4.651478320122981e-33 12146
8 1.750210279934607e-32 7.19336614791746e-33 12606
8.25 2.330780183018285e-32 6.829118950736381e-33 13802
8.5 1.654892020852551e-32 5.750398781558752e-33 14754
8.75 1.970727340752132e-32 6.345546611927911e-33 15194
9 4.224756530706089e-32 8.46847811179519e-33 16454
9.25 1.627246913712784e-32 5.994419009111448e-33 17154
9.5 2.068576274951137e-32 8.586157790577094e-33 18266
9.75 1.906529154702226e-32 5.864427255998068e-33 18750
10 9.591953887284277e-32 1.12381833573883e-32 20234
10.25 3.321888356222907e-32 9.66233611761978e-33 21450
10.5 2.147360859509975e-32 7.40714125244331e-33 21962
10.75 2.874432592064241e-32 7.909726898206618e-33 23462
11 2.41262260580006e-32 1.166287707983866e-32 24042
11.25 2.891988375556484e-32 1.029012739542428e-32 25946
11.5 2.650391907920666e-32 9.856459233201371e-33 26118
11.75 4.151836232568671e-32 1.360084511834276e-32 27506
12 6.762548560618746e-32 2.300971033809393e-32 29066
12.25 3.671447335693791e-32 1.657037007796564e-32 30450
12.5 3.608215187565975e-32 1.672346016881368e-32 31742
12.75 4.55731805375131e-32 1.524757492835594e-32 32250
13 5.476692042226622e-32 2.827126735944975e-32 34250
13.25 3.921246819289937e-32 1.426934086008514e-32 35454
13.5 4.146350050637226e-32 2.32224052966892e-32 36434
13.75 3.818434291553351e-32 1.983146121685583e-32 37682
14 5.055042889614776e-32 3.280261629607472e-32 39294
14.25 5.052383678220402e-32 1.721097187946954e-32 41426
14.5 5.401366019670872e-32 1.706574728055769e-32 42066
14.75 6.036873455149712e-32 2.660530105340531e-32 43490
15 5.172256339625291e-32 2.488416461046591e-32 45702
15.25 5.174556276407668e-32 2.023796527893951e-32 46634
15.5 9.040813121287961e-32 2.943180912191414e-32 48554
15.75 6.298881665269033e-32 1.833879225516677e-32 48870
16 7.694877098422744e-32 2.722296483408326e-32 50963
16.25 7.240169962792366e-32 2.239108166770452e-32 51576
16.5 5.601282124743117e-32 2.285685894668445e-32 49316
16.75 5.620997592883743e-32 2.124165958757891e-32 49344
17 4.734170742517995e-32 2.177236196512446e-32 47192
17.25 4.906103209608179e-32 2.075087882824785e-32 47576
17.5 5.027527884947526e-32 2.020210773842881e-32 45348
17.75 5.345703935769639e-32 1.752819840373038e-32 44060
18 4.859536546166637e-32 2.493973445788857e-32 43872
18.25 4.169237510197316e-32 1.694397956847247e-32 41756
18.5 4.830903606613808e-32 1.589737046149846e-32 41528
18.75 4.83273477882142e-32 1.523351236301158e-32 39300
19 3.599204016131637e-32 1.48215690077347e-32 38276
19.25 3.718080037305978e-32 1.373203249899523e-32 36900
19.5 4.200136421949942e-32 1.70900952070527e-32 34724
19.75 3.32193488106773e-32 1.385720786084177e-32 33960
20 2.787798931736746e-32 1.416402389650022e-32 32144
20.25 3.810995681757776e-32 1.377179753259745e-32 30704
20.5 2.839771797380534e-32 1.191703229199411e-32 28896
20.75 2.975135913409898e-32 1.007608726029904e-32 26924
21 3.094267251270834e-32 1.119117488322341e-32 25656
21.25 2.369939185564701e-32 1.111669600950426e-32 23228
21.5 2.895946540746433e-32 1.059663887335611e-32 21816
21.75 2.046123059414154e-32 8.672759648857761e-33 19472
22 1.97919134262181e-32 8.818225113499839e-33 17696
22.25 2.456143680296389e-32 7.586144697550702e-33 15588
22.5 2.179860228815254e-32 5.47518790939827e-33 13760
22.75 1.349744883257135e-32 4.69277706205914e-33 11565
23 1.059899323840891e-32 3.763581064814876e-33 10016
23.25 9.309825433675854e-33 3.500629436316355e-33 8652
23.5 8.297759004946529e-33 3.195849886402324e-33 7652
