1:binCentralValue 2:valuesAverage 3:multiplicity
31.8198 1.077045378348545e-44 13760
32.1733 8.573743709710262e-45 11565
32.5269 7.081709086428029e-45 10016
32.8804 6.035300119565691e-45 8652
33.234 5.182019469212604e-45 7652
33.5875 4.525445431640828e-45 6542
33.9411 3.721630043797977e-45 5478
34.2946 3.29921729922569e-45 4886
34.6482 2.636565440485488e-45 4068
35.0017 2.307532400422846e-45 3326
35.3553 1.805772445091744e-45 2696
35.7089 1.617215006161888e-45 2304
36.0624 1.322189037366278e-45 1934
36.416 8.880247999213952e-46 1344
36.7695 5.661823906383098e-46 848
37.1231 6.004007148539275e-46 888
37.4766 3.866265703671416e-46 584
37.8302 2.278710247546045e-46 344
38.1837 7.083455854276678e-47 102
38.5373 7.19944144987182e-47 104
38.8908 1.382524065219606e-47 24
39.2444 9.711753216461257e-51 1

