1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 4.286961915586817e-18 1.61823110155416e-16 18
0.5 2.584786022612843e-17 3.586666968109889e-15 62
0.75 7.175334050020861e-17 7.303559991585515e-15 98
1 1.909923811643381e-16 1.80408602581756e-14 210
1.25 4.496199847484985e-16 5.087567097830158e-14 350
1.5 7.16156976544969e-16 7.376436904461885e-14 450
1.75 1.107884452223964e-15 1.137197695143247e-13 602
2 1.551758019628765e-15 1.68383768218786e-13 762
2.25 2.619676026256304e-15 3.069282704573784e-13 1142
2.5 3.142829889142939e-15 3.930195418057833e-13 1250
2.75 4.110209834919319e-15 5.16758432970885e-13 1458
3 5.469328423136417e-15 6.832042095442776e-13 1814
3.25 6.784300149908534e-15 8.587332703037876e-13 2178
3.5 8.470045323706829e-15 1.11121654429282e-12 2498
3.75 9.573012435428642e-15 1.255507679174194e-12 2622
4 5.904523828734793e-15 8.271739917738835e-13 3191
4.25 5.532232440992945e-46 6.852424906354778e-44 3044
4.5 4.808023610736058e-46 6.120042620589213e-44 2736
4.75 4.085527242567843e-46 4.903913881814908e-44 2276
5 3.003380261057307e-46 3.716888798644211e-44 2016
5.25 2.156204562209018e-46 2.931120127168132e-44 1640
5.5 1.261337975346895e-46 1.540394914618837e-44 1056
5.75 7.389424594592271e-47 9.653799363573797e-45 683
6 3.950566189042187e-47 4.784007684173703e-45 350
6.25 2.128121484329361e-47 1.94854103386139e-45 192
6.5 3.992984030332684e-48 4.933002924543239e-46 44
6.75 3.933336527190794e-48 2.953515820982514e-46 24
7 1.030590274414517e-50 3.58108709203759e-49 1

0.25 6.124002902999118e-19 2.048149414246233e-17 18
0.5 4.037560996702701e-18 1.327258964732649e-16 62
0.75 6.797113801711282e-18 3.840188594578132e-16 98
1 1.265931784331296e-17 1.077733227477202e-15 210
1.25 1.976645089049242e-17 2.677934278362679e-15 350
1.5 1.656167719348505e-17 4.261184061127452e-15 450
1.75 1.833442968871315e-17 6.553860105245214e-15 602
2 3.447876642020546e-17 7.627547842169766e-15 762
2.25 8.307077551000464e-17 1.221800619574076e-14 1142
2.5 1.432653817074587e-16 1.293770075125703e-14 1250
2.75 2.449561749965177e-16 1.41106462328422e-14 1458
3 3.841806958795787e-16 1.491512971405898e-14 1814
3.25 5.290016410669204e-16 1.510086103616095e-14 2178
3.5 6.90756618117991e-16 1.735769097530324e-14 2498
3.75 8.034319170175589e-16 1.732661202714586e-14 2622
4 5.15835776497694e-16 1.034777247236118e-14 3191
4.25 4.91572616574713e-28 1.496535132240313e-26 3044
4.5 3.400951921650457e-28 1.461655026733435e-26 2736
4.75 2.418967985608128e-28 1.268729706515215e-26 2276
5 1.790722028695152e-28 1.08318787878665e-26 2016
5.25 1.309214009928239e-28 8.602959684359935e-27 1640
5.5 7.56255989144193e-29 5.181687764334544e-27 1056
5.75 2.935204569879774e-29 3.241868480726655e-27 683
6 1.298419677802808e-29 1.399690805392874e-27 350
6.25 5.969453489479291e-30 5.222928909137441e-28 192
6.5 1.504582362439841e-30 1.021358568956193e-28 44
6.75 9.386929541197595e-31 9.834529236245574e-29 24
7 1.236979000780992e-32 1.301639051639864e-30 1

0.25 4.478610320975317e-18 1.680327898584432e-17 18
0.5 2.822445612750509e-17 1.647766612515392e-16 62
0.75 6.755913873789523e-17 6.774555742324048e-16 98
1 1.51173320681514e-16 2.637647804231056e-15 210
1.25 2.54622315189149e-16 8.260889722169401e-15 350
1.5 2.155195198656241e-16 1.342462374361948e-14 450
1.75 1.397167560317929e-16 1.719691127038556e-14 602
2 4.404693578535954e-17 1.295838670976401e-14 762
2.25 1.457790105364559e-17 9.600340770055241e-15 1142
2.5 2.505681535613532e-17 5.526314350744303e-15 1250
2.75 3.51196901684422e-17 7.922080280647573e-15 1458
3 3.49653938956126e-17 1.26568531906455e-14 1814
3.25 4.94340770335703e-17 1.309451971121128e-14 2178
3.5 7.596585786313449e-17 1.383843133425796e-14 2498
3.75 9.469327514778907e-17 1.523216750367502e-14 2622
4 5.897263846202559e-17 1.063729166115586e-14 3191
4.25 3.789403982987444e-28 7.156465803701467e-26 3044
4.5 2.545390134472096e-28 5.581335799852653e-26 2736
4.75 1.92944984309384e-28 3.671474079294213e-26 2276
5 1.536298119838055e-28 2.368760917860997e-26 2016
5.25 1.123195000170888e-28 1.749225836887252e-26 1640
5.5 6.320888787124591e-29 9.279245498355927e-27 1056
5.75 3.962238458515222e-29 4.967419471558538e-27 683
6 1.654374390805317e-29 2.447506292125456e-27 350
6.25 7.271608544295815e-30 9.873277617548513e-28 192
6.5 1.474377755040992e-30 3.895253377815943e-28 44
6.75 1.795624986196655e-30 1.976964305935814e-28 24
7 2.310558309290793e-32 3.18224691369183e-32 1

0.25 3.832937183528529e-18 1.499317780676983e-16 18
0.5 1.967360524644849e-17 1.194259841410672e-15 62
0.75 3.090694633752791e-17 3.800877646986252e-15 98
1 2.750085119979659e-17 1.128529857688445e-14 210
1.25 5.333335105595616e-18 2.48779201290179e-14 350
1.5 7.425115153649658e-17 2.543692016078034e-14 450
1.75 2.076770844356122e-16 1.773296840763088e-14 602
2 1.805547878329005e-16 5.218100131405637e-15 762
2.25 9.608056107155127e-17 9.522433129237925e-16 1142
2.5 7.479795382711504e-17 7.984714652136776e-16 1250
2.75 1.004564301383606e-16 7.547223577164766e-16 1458
3 9.236407919670292e-17 1.115737366391315e-15 1814
3.25 1.251381824762056e-16 1.375890267249985e-15 2178
3.5 1.597456048595421e-16 1.563049254491973e-15 2498
3.75 1.526466211876957e-16 2.136826454996436e-15 2622
4 8.88697664412236e-17 1.554667067987811e-15 3191
4.25 1.059927452255939e-27 1.970706411423572e-26 3044
4.5 7.869132203480685e-28 1.36716922208835e-26 2736
4.75 4.326337177228207e-28 9.251412572825986e-27 2276
5 2.232603075426485e-28 6.783582150800281e-27 2016
5.25 1.437429204489915e-28 4.612925217369304e-27 1640
5.5 6.783669723555161e-29 2.427727711904218e-27 1056
5.75 3.529476291915322e-29 1.194659292020631e-27 683
6 1.630237655570641e-29 5.481261241470982e-28 350
6.25 6.747259565249201e-30 2.007730642131304e-28 192
6.5 1.687876579752873e-30 7.932348394316105e-29 44
6.75 1.992135391114679e-30 5.880374624189854e-29 24
7 2.272424881501466e-32 1.928268377917709e-32 1

0.25 9.813228343420172e-18 1.344830029450139e-15 18
0.5 1.014366574411235e-16 1.094542546130355e-14 62
0.75 4.193165985478993e-16 3.320201156647433e-14 98
1 1.548489168998095e-15 8.13908071458411e-14 210
1.25 3.907001555870008e-15 1.129563129630064e-13 350
1.5 3.950991126603258e-15 4.602966598081724e-14 450
1.75 2.299063691617621e-15 5.231883128954978e-15 602
2 4.428247981570075e-16 1.040649558432249e-15 762
2.25 3.164834066952657e-17 1.215387213810724e-15 1142
2.5 1.299408881902083e-17 1.345803264701122e-15 1250
2.75 1.60496305350876e-17 1.47494554614092e-15 1458
3 1.775786877903489e-17 2.180344663531354e-15 1814
3.25 2.333396272335659e-17 2.551866583659572e-15 2178
3.5 2.635686280256139e-17 3.584497069171304e-15 2498
3.75 3.160190348471954e-17 3.745343545375557e-15 2622
4 2.11757119566407e-17 2.298491868239914e-15 3191
4.25 1.896415726379201e-27 4.364105651406498e-25 3044
4.5 1.199510973515468e-27 2.930453295500283e-25 2736
4.75 6.259311998947958e-28 1.53358027559088e-25 2276
5 3.177844663518848e-28 8.267159173438883e-26 2016
5.25 1.212861843637332e-28 3.364662968771153e-26 1640
5.5 3.819771381407398e-29 8.788176205212328e-27 1056
5.75 1.339007117478838e-29 3.25621718915265e-27 683
6 6.050242644535876e-30 1.054071538036082e-27 350
6.25 2.47056752872203e-30 4.680669735963804e-28 192
6.5 8.424097342710993e-31 1.321594391453288e-28 44
6.75 5.256629369832189e-31 1.22962941899238e-28 24
7 7.634193210773247e-33 5.726845893810601e-32 1

0.25 1.414853302604176e-19 6.74013358507424e-16 18
0.5 2.290195370873373e-17 8.323393512696603e-15 62
0.75 3.608267263495666e-16 4.029258814011007e-14 98
1 3.411845832953046e-15 1.646341241217166e-13 210
1.25 1.690285740525827e-14 4.124775674734212e-13 350
1.5 2.579489166928235e-14 3.506064268090892e-13 450
1.75 1.790320711636923e-14 1.408316551088884e-13 602
2 3.349066168923644e-15 1.347296823454398e-14 762
2.25 1.590507978695885e-16 1.780370852197892e-16 1142
2.5 4.803804505024639e-17 1.146306340798482e-16 1250
2.75 4.50240041117343e-17 1.90596066811481e-16 1458
3 5.544680312294924e-17 2.655399927272377e-16 1814
3.25 5.83989602480193e-17 3.948874278567331e-16 2178
3.5 6.869786548474136e-17 5.380470051814871e-16 2498
3.75 7.276872797346029e-17 6.74306759175841e-16 2622
4 4.851864995034907e-17 4.224848585982869e-16 3191
4.25 1.112599304528258e-26 2.31017480944951e-25 3044
4.5 6.79817298659284e-27 1.540627291999773e-25 2736
4.75 3.22029950224034e-27 7.856330292199792e-26 2276
5 1.684502734920713e-27 4.084866190470641e-26 2016
5.25 5.574217610532208e-28 1.308253502415444e-26 1640
5.5 1.266341004523097e-28 2.823150868391614e-27 1056
5.75 3.839902104212881e-29 6.464203771747533e-28 683
6 1.345170751718133e-29 2.036284754905292e-28 350
6.25 5.183053816842148e-30 8.373445527917129e-29 192
6.5 2.051568640095033e-30 2.518645684352034e-29 44
6.75 1.372005884411793e-30 1.985417567114604e-29 24
7 5.547461940722224e-33 2.925024148917168e-31 1

0.25 3.232124550498136e-18 9.808367850426952e-15 18
0.5 9.263267248009307e-17 1.561556665591228e-13 62
0.75 9.430424912397505e-16 9.342605886638757e-13 98
1 7.636074321694175e-15 4.385146295038456e-12 210
1.25 3.446373481921188e-14 1.119763274676968e-11 350
1.5 4.551945604529145e-14 8.221884980184967e-12 450
1.75 2.450156911418577e-14 2.385820947642244e-12 602
2 2.923888038537537e-15 1.264569313555832e-13 762
2.25 4.89878926263504e-17 4.561711949380377e-16 1142
2.5 8.369180256036919e-18 3.017146890567583e-16 1250
2.75 8.823728932485352e-18 4.879967094390499e-16 1458
3 9.590682801027694e-18 7.690108720153556e-16 1814
3.25 1.172461876153718e-17 9.947524505559726e-16 2178
3.5 1.422128732756467e-17 1.31853679766927e-15 2498
3.75 1.540587286063505e-17 1.59404451899165e-15 2622
4 1.147516250747268e-17 8.79306285634622e-16 3191
4.25 5.238391290858321e-26 6.118600817196614e-24 3044
4.5 3.281702372269825e-26 3.822668428831976e-24 2736
4.75 1.801342291529671e-26 2.009793419869743e-24 2276
5 9.401890143464866e-27 9.974436389402068e-25 2016
5.25 2.78220166997413e-27 2.945504547065985e-25 1640
5.5 3.926749453296492e-28 3.846868176747515e-26 1056
5.75 3.05173327618649e-29 3.81784491163e-27 683
6 3.135990106055211e-30 7.015062649475553e-28 350
6.25 1.3965351676066e-30 2.788339065784353e-28 192
6.5 5.673649487542599e-31 7.170534068142488e-29 44
6.75 2.366828514052139e-31 6.148635073475361e-29 24
7 4.447810003118091e-33 3.699359727476327e-30 1

0.25 1.024160390246513e-16 2.238112155542657e-15 18
0.5 3.512161027187634e-15 5.14018862971422e-14 62
0.75 4.164412270594427e-14 4.273658412963025e-13 98
1 3.746289143650166e-13 2.652841598166489e-12 210
1.25 1.700427612695374e-12 8.069335689863973e-12 350
1.5 1.979261945491639e-12 6.004440880738486e-12 450
1.75 8.178331539014187e-13 1.456847719772715e-12 602
2 6.226091767063827e-14 4.897867289437866e-14 762
2.25 4.155588655901471e-16 5.694261903209855e-17 1142
