1:binCentralValue 2:valuesAverage 3:multiplicity
0.25 0 18
0.5 0 62
0.75 0 98
1 0 210
1.25 0 350
1.5 0 450
1.75 0 602
2 0 762
2.25 0 1142
2.5 0 1250
2.75 0 1458
3 0 1814
3.25 0 2178
3.5 0 2498
3.75 0 2622
4 0 3191
4.25 0 3044
4.5 0 2736
4.75 0 2276
5 0 2016
5.25 0 1640
5.5 0 1056
5.75 0 683
6 0 350
6.25 0 192
6.5 0 44
6.75 0 24
7 0 1

0.25 3.797664145017736e-30 18
0.5 6.59254699860109e-29 62
0.75 2.819916457423306e-28 98
1 2.786911826174905e-28 210
1.25 3.361062940622121e-28 350
1.5 7.629980031806601e-28 450
1.75 3.734257080566432e-28 602
2 5.220234939292101e-28 762
2.25 1.692850867919773e-27 1142
2.5 1.258804436487768e-27 1250
2.75 1.379391372132906e-27 1458
3 2.530264832329415e-27 1814
3.25 2.895546793303662e-27 2178
3.5 2.804268055221879e-27 2498
3.75 3.508125647802954e-27 2622
4 5.224883239225575e-27 3191
4.25 5.277760796876834e-27 3044
4.5 4.531602545388334e-27 2736
4.75 3.39718518670806e-27 2276
5 2.49693534957577e-27 2016
5.25 2.553751436694525e-27 1640
5.5 1.823733867749161e-27 1056
5.75 1.050477027599688e-27 683
6 3.472920994064469e-28 350
6.25 1.137490294879002e-28 192
6.5 2.638681204918311e-29 44
6.75 1.268526465245383e-29 24
7 2.687279259076179e-32 1

0.25 8.101167565604323e-29 18
0.5 8.537689405533768e-29 62
0.75 2.398228222031323e-28 98
1 3.845870507608125e-28 210
1.25 4.577713783436496e-28 350
1.5 6.052486406850892e-28 450
1.75 9.201034414918378e-28 602
2 9.963228925519114e-28 762
2.25 2.514918692117861e-27 1142
2.5 2.376353046429809e-27 1250
2.75 3.094753405239875e-27 1458
3 3.62474352683079e-27 1814
3.25 4.816491619420059e-27 2178
3.5 5.59001685916606e-27 2498
3.75 5.8215126502905e-27 2622
4 7.229643304215588e-27 3191
4.25 6.371730786231245e-27 3044
4.5 5.149601916652246e-27 2736
4.75 4.262354183640587e-27 2276
5 4.423086131807397e-27 2016
5.25 4.089758775282187e-27 1640
5.5 2.509383445637511e-27 1056
5.75 1.764031072084627e-27 683
6 6.796675231895918e-28 350
6.25 2.772550666395961e-28 192
6.5 5.627556783424691e-29 44
6.75 2.169886842582901e-29 24
7 6.505397161490308e-32 1

0.25 8.988834759217066e-29 18
0.5 6.268908953454632e-29 62
0.75 1.536966124676155e-28 98
1 3.862473772323354e-28 210
1.25 7.47426793108811e-28 350
1.5 9.913341011733184e-28 450
1.75 1.100395871192404e-27 602
2 1.342864906475793e-27 762
2.25 3.197059315057676e-27 1142
2.5 2.695729062677666e-27 1250
2.75 2.893281008051164e-27 1458
3 3.550100024202009e-27 1814
3.25 4.200347422412683e-27 2178
3.5 4.848534005095553e-27 2498
3.75 4.877268180894782e-27 2622
4 6.458226071216267e-27 3191
4.25 5.84141377605099e-27 3044
4.5 4.900033847097741e-27 2736
4.75 3.801530240923066e-27 2276
5 3.613790512528535e-27 2016
5.25 3.350247314354335e-27 1640
5.5 2.393461873876409e-27 1056
5.75 1.329596527923967e-27 683
6 6.823378491886898e-28 350
6.25 2.98875049272491e-28 192
6.5 5.773335506271296e-29 44
6.75 2.114094011834718e-29 24
7 8.800761327393941e-32 1

0.25 1.369371503929327e-27 18
