1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 8.632645909920873e-20 7.706893170931168e-19 18
0.5 3.531889925876028e-19 3.479989288188656e-18 62
0.75 1.438948488415823e-18 7.336478580021728e-18 98
1 2.381575758687984e-18 2.122788531676961e-17 210
1.25 6.248923681957039e-18 7.025999720731443e-17 350
1.5 7.247948584414754e-18 1.727712717828708e-16 450
1.75 1.405413809026492e-17 8.620697718275537e-17 602
2 1.866963509452971e-17 1.339214680774763e-16 762
2.25 2.774028573385232e-17 2.320657276077011e-16 1142
2.5 3.382873324643599e-17 2.811347827763697e-16 1250
2.75 3.878556309565612e-17 4.266932868695229e-16 1458
3 5.48366355727721e-17 5.444385823093544e-16 1814
3.25 6.949794491442571e-17 7.706928747710637e-16 2178
3.5 7.92875270157305e-17 9.781852974435141e-16 2498
3.75 9.103094526924697e-17 1.121847563499691e-15 2622
4 5.466514136089774e-17 7.535585101451707e-16 3191
4.25 7.35272772275385e-27 1.355616263684861e-25 3044
4.5 3.078814026194014e-27 6.894551563594392e-26 2736
4.75 7.174262643719614e-28 2.516371889711483e-26 2276
5 2.269837838438312e-28 7.139765433831387e-27 2016
5.25 6.502860318865403e-29 2.111806933391465e-27 1640
5.5 1.384672467763705e-29 2.834882305559364e-28 1056
5.75 4.893809518130053e-30 9.450033731544174e-29 683
6 1.60345648856077e-30 5.772944873004119e-29 350
6.25 1.522866354510242e-30 2.14321809854701e-29 192
6.5 2.784198699841519e-31 8.427888853575638e-30 44
6.75 1.777436520644634e-31 4.980645481314761e-30 24
7 4.595068350216023e-33 3.011859695612869e-31 1

0.25 4.062174740990297e-19 2.964617946712261e-20 18
0.5 8.297706442398609e-19 4.224815343395178e-19 62
0.75 2.548267480495565e-18 2.119572581480234e-18 98
1 4.059216693138522e-18 5.302526179400582e-18 210
1.25 6.309373914981214e-18 2.274208182704965e-17 350
1.5 2.395997903322154e-17 6.23622757840889e-17 450
1.75 1.610422354308994e-17 3.267540024466831e-17 602
