1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 1.993172903315423e-17 5.374265227079263e-17 18
0.5 1.70275711837978e-16 5.057491423025314e-16 62
0.75 4.564884893974936e-16 1.523156272483835e-15 98
1 1.278943607070238e-15 6.296189814908314e-15 210
1.25 2.321800899803227e-15 1.150266285872903e-14 350
1.5 3.317361876749259e-15 2.057715335265956e-14 450
1.75 5.231450264703858e-15 3.29532142286659e-14 602
2 6.913168229686045e-15 5.219328877988836e-14 762
2.25 1.074284538045715e-14 9.466596339614954e-14 1142
2.5 1.143350313862445e-14 1.118300648685981e-13 1250
2.75 1.317416973648626e-14 1.545494770302017e-13 1458
3 1.76041522494562e-14 2.150033107631201e-13 1814
3.25 2.207374492623178e-14 2.971097566841637e-13 2178
3.5 2.502552172869394e-14 4.049974201717527e-13 2498
3.75 2.667237670763391e-14 4.632422827679151e-13 2622
4 1.623790655397845e-14 3.132155853624964e-13 3338
4.25 1.943828167682366e-32 5.717124993609999e-33 3722
4.5 3.574370737278341e-32 9.424460593007595e-33 4170
4.75 3.866959631301614e-32 1.006894269639989e-32 4358
5 2.635223188675956e-32 1.027795486398778e-32 5034
5.25 3.739736861623783e-32 1.01233559113995e-32 5714
5.5 3.579061644139408e-32 1.341985059691795e-32 5982
5.75 4.972076665451483e-32 1.226593608134063e-32 6602
6 5.841576211407284e-32 4.100026216872553e-32 6923
6.25 5.680273937979998e-32 1.79054336801524e-32 7032
6.5 3.774710906058725e-32 1.360898294689753e-32 6632
6.75 4.676101872189519e-32 1.200466245784192e-32 5988
7 3.074989984298404e-32 1.499755335608993e-32 5744
7.25 2.945587123644565e-32 1.269973570435909e-32 5048
7.5 4.086921712382482e-32 7.699917457692909e-33 4452
7.75 2.760131360334947e-32 9.600734804259252e-33 3920
8 2.308755459218805e-32 5.51875726981517e-33 3096
8.25 1.699656273910466e-32 1.296980180582419e-32 2552
8.5 1.129465516667009e-32 4.043744038526709e-33 1755
8.75 8.238301623382179e-33 2.464493191476055e-33 1220
9 4.265912499102111e-33 1.699692636579793e-33 782
9.25 3.651717650528082e-33 1.154765098142524e-33 432
9.5 3.09217852471245e-33 8.81137019035927e-34 350
9.75 1.097061643292991e-33 4.017568511051114e-34 168
10 1.34865934995246e-33 1.978337547473766e-34 56
10.25 3.616825013414668e-35 3.840213615250466e-36 6
10.5 6.934932927320294e-37 3.13155564999307e-36 1

0.25 4.035045618817173e-18 3.154584126585646e-19 18
0.5 2.632972079939479e-17 2.747627217354005e-18 62
0.75 3.248466302473996e-17 2.364606239084099e-17 98
1 5.522294467628775e-17 1.520282859931945e-16 210
1.25 6.476203376014535e-17 3.371300180762952e-16 350
1.5 1.205445548144351e-16 4.776810650519304e-16 450
1.75 1.980490349187063e-16 7.008946578058478e-16 602
2 2.637252044422172e-16 1.120342459833712e-15 762
2.25 3.990897927467778e-16 2.137208048307431e-15 1142
2.5 4.432087692695955e-16 2.461382710722803e-15 1250
2.75 4.90288197556515e-16 3.518195007793642e-15 1458
3 5.870724875801248e-16 5.492767001056043e-15 1814
3.25 7.951319340725926e-16 7.215518825904261e-15 2178
3.5 9.61021281495013e-16 9.238659234295668e-15 2498
3.75 9.166694644681554e-16 1.20372584427878e-14 2622
4 5.712708461642119e-16 7.935929327382922e-15 3338
4.25 1.156625551441573e-28 2.887644619538198e-27 3722
4.5 1.118194638783943e-28 2.013487489535541e-27 4170
4.75 9.176874798102521e-29 1.26441977362418e-27 4358
5 6.533131427245699e-29 1.219958752250726e-27 5034
5.25 4.865987493782554e-29 1.197943524708129e-27 5714
5.5 4.364166811882339e-29 9.532304957469973e-28 5982
5.75 4.32500485049902e-29 7.510479371219236e-28 6602
6 4.381954200227704e-29 5.816419166135025e-28 6923
6.25 3.411335746966216e-29 4.052937661915526e-28 7032
6.5 2.386953827530857e-29 2.73075128881949e-28 6632
6.75 1.484075346415474e-29 1.344510921533546e-28 5988
7 7.079458940544013e-30 7.929832933057567e-29 5744
7.25 2.33132197571056e-30 4.35261095355678e-29 5048
7.5 6.701403716056314e-31 1.846817793145536e-29 4452
7.75 1.612408990219605e-31 4.630942229044771e-30 3920
8 1.217437995962563e-32 4.158504696599835e-31 3096
8.25 8.844711035311475e-33 2.981907347974056e-31 2552
8.5 5.971647622358774e-33 2.26333499876519e-31 1755
8.75 4.370497387984978e-33 1.682589696473097e-31 1220
9 2.787118356039893e-33 1.227554541818047e-31 782
9.25 1.547958688363253e-33 7.912539937041799e-32 432
9.5 1.18950845138664e-33 6.048185363882034e-32 350
9.75 7.5930919131562e-34 3.029009368612306e-32 168
10 2.891560500542088e-34 1.486858666821299e-32 56
10.25 3.288494886284981e-35 1.08040447115632e-33 6
10.5 1.679977343050186e-35 9.307638693568585e-34 1

0.25 5.53727896692914e-19 3.135757223215717e-18 18
0.5 2.724784131700131e-18 3.931846637711279e-18 62
0.75 5.30995948497095e-18 2.846675449153235e-17 98
1 1.728017761239805e-17 4.995933154249897e-17 210
1.25 2.96115068910175e-17 2.226025328835846e-16 350
1.5 1.876288083076245e-17 3.321743535569803e-16 450
1.75 4.591944042572234e-17 3.185761735016737e-16 602
2 6.478243788688812e-17 4.849986041628508e-16 762
2.25 1.039292729301399e-16 8.751385429254257e-16 1142
2.5 1.111759619112909e-16 1.050820329064317e-15 1250
2.75 1.364732575465772e-16 1.328450895994099e-15 1458
3 1.673462871977912e-16 2.051770483542782e-15 1814
3.25 2.227392007683729e-16 2.747335509338333e-15 2178
3.5 2.501728004234572e-16 3.740275583400716e-15 2498
3.75 2.744820764573449e-16 4.256437425597411e-15 2622
4 1.780841495177348e-16 2.706864767652156e-15 3338
4.25 1.873645570944538e-28 5.056661920984013e-27 3722
4.5 1.021348450218546e-28 2.992308175185841e-27 4170
4.75 6.367447018894001e-29 1.638490201778286e-27 4358
5 4.736987723217659e-29 1.313372053798234e-27 5034
5.25 4.447385720603388e-29 1.016700238878539e-27 5714
5.5 3.958731344864839e-29 8.269397140717663e-28 5982
5.75 3.270468009515977e-29 7.542805979182626e-28 6602
6 2.695502056950126e-29 7.272441239986132e-28 6923
6.25 1.851056026644019e-29 5.017437109245367e-28 7032
6.5 9.322795379922068e-30 2.25745799839497e-28 6632
6.75 2.544689479742537e-30 9.315723144066172e-29 5988
7 7.674563269292113e-31 4.17560705344582e-29 5744
7.25 4.348343551117624e-31 1.995721983459662e-29 5048
7.5 2.39901826909721e-31 8.457832414950556e-30 4452
7.75 8.424673740530049e-32 2.062145478809278e-30 3920
8 8.087948614228393e-33 2.607333549519906e-31 3096
8.25 5.560673034379769e-33 2.049677512486059e-31 2552
8.5 4.018230420058428e-33 1.454131243691586e-31 1755
8.75 2.896171763912217e-33 1.015296356687813e-31 1220
9 1.873775029687499e-33 7.616635737593436e-32 782
9.25 1.037311407579882e-33 4.535068038213733e-32 432
9.5 9.352056966864738e-34 3.694412747539109e-32 350
9.75 4.629050519868865e-34 2.291096004371444e-32 168
10 1.60042794600821e-34 1.225953428469359e-32 56
10.25 1.721380743558345e-35 1.147024749963157e-33 6
10.5 1.693098859209056e-38 8.378853775160105e-36 1

0.25 4.009038602387615e-19 1.114975551283707e-19 18
0.5 3.327023340731209e-18 9.057379055769256e-19 62
0.75 4.182735466756485e-18 3.339536178653958e-18 98
1 1.061036747280806e-17 1.785980994068658e-17 210
1.25 1.445363832196146e-17 7.747360903540126e-17 350
1.5 2.895515477752146e-17 9.521146647111852e-17 450
1.75 3.676980565890283e-17 9.442795668535117e-17 602
2 4.386059609554016e-17 1.669940073390919e-16 762
2.25 6.732412350438713e-17 3.158274640422298e-16 1142
2.5 6.895076886082356e-17 3.929025323548467e-16 1250
2.75 7.719122056205174e-17 5.521820275848644e-16 1458
3 9.614174026868945e-17 8.337791548835306e-16 1814
3.25 1.215420267426989e-16 1.178427459692149e-15 2178
3.5 1.474483806996439e-16 1.49884801072814e-15 2498
3.75 1.464787314848425e-16 1.864846168505822e-15 2622
4 9.551755576204974e-17 1.184569065789328e-15 3338
4.25 7.228434418572117e-28 8.610310651838361e-27 3722
4.5 3.879134437852781e-28 3.580708994645651e-27 4170
4.75 1.759508845380712e-28 1.445650341737188e-27 4358
5 8.574950086365317e-29 8.915937524810656e-28 5034
5.25 4.10473197224055e-29 6.796826173830074e-28 5714
5.5 2.732033890331922e-29 5.400884726301172e-28 5982
5.75 2.431937064607304e-29 4.529967825962735e-28 6602
6 2.244604852702915e-29 4.085849732135454e-28 6923
6.25 1.756283167208241e-29 2.933456123655141e-28 7032
6.5 9.785501650622962e-30 1.54999063252736e-28 6632
6.75 4.563330685489333e-30 4.871265345504852e-29 5988
7 1.525430077800291e-30 1.837456421270588e-29 5744
7.25 3.99832186813937e-31 7.971206878987827e-30 5048
7.5 1.190272291029918e-31 2.728649978485746e-30 4452
7.75 3.140681901961899e-32 7.074760199657263e-31 3920
8 5.480909673763925e-33 1.80399171362669e-31 3096
8.25 4.283843111427479e-33 1.520470514128947e-31 2552
8.5 3.057354235087769e-33 1.124021319564323e-31 1755
