1:binCentralValue 2:valuesAverage 3:multiplicity
0.25 0 18
0.5 0 62
0.75 0 98
1 0 210
1.25 0 350
1.5 0 450
1.75 0 602
2 0 762
2.25 0 1142
2.5 0 1250
2.75 0 1458
3 0 1814
3.25 0 2178
3.5 0 2498
3.75 0 2622
4 0 3338
4.25 0 3722
4.5 0 4170
4.75 0 4358
5 0 5034
5.25 0 5714
5.5 0 5982
5.75 0 6602
6 0 6923
6.25 0 7032
6.5 0 6632
6.75 0 5988
7 0 5744
7.25 0 5048
7.5 0 4452
7.75 0 3920
8 0 3096
8.25 0 2552
8.5 0 1755
8.75 0 1220
9 0 782
9.25 0 432
9.5 0 350
9.75 0 168
10 0 56
10.25 0 6
10.5 0 1

0.25 4.944293349010416e-30 18
0.5 1.015857864205676e-28 62
0.75 2.978778635493568e-28 98
1 3.952406521130965e-28 210
1.25 5.984370335024865e-28 350
1.5 9.937047977374501e-28 450
1.75 3.721220231547956e-28 602
2 9.736804223362984e-28 762
2.25 1.728042042881574e-27 1142
2.5 8.978163549962821e-28 1250
2.75 1.873003228150042e-27 1458
3 1.829159805445465e-27 1814
3.25 1.093920021819536e-27 2178
3.5 2.044045435969268e-27 2498
3.75 2.274953117173634e-27 2622
4 1.733974731511391e-27 3338
4.25 1.575145546156692e-27 3722
4.5 1.644587735177066e-27 4170
4.75 1.309200704583466e-27 4358
5 1.233134830916319e-27 5034
5.25 1.362753422395348e-27 5714
5.5 1.515350365363026e-27 5982
5.75 1.856562641763391e-27 6602
6 1.981089562272206e-27 6923
6.25 1.615497111958133e-27 7032
6.5 1.074473254034281e-27 6632
6.75 6.004425262197395e-28 5988
7 3.898424883788582e-28 5744
7.25 2.48225166179784e-28 5048
7.5 1.108505518294368e-28 4452
7.75 2.99479321304934e-29 3920
8 6.036540341159941e-31 3096
8.25 4.132592442194109e-40 2552
8.5 1.993046687666083e-40 1755
8.75 7.168291286876651e-41 1220
9 3.39034478511124e-41 782
9.25 1.303728062588791e-41 432
9.5 8.612866261157978e-42 350
9.75 3.167764760271354e-42 168
10 6.602828312046193e-43 56
10.25 9.605170763169225e-44 6
10.5 4.003172869484513e-45 1

0.25 7.815941271264694e-29 18
0.5 1.609786812471804e-28 62
0.75 2.267462782690612e-28 98
1 5.149825754991315e-28 210
1.25 7.999189256248344e-28 350
1.5 8.160887344164204e-28 450
1.75 1.195657783527877e-27 602
2 1.699311436466879e-27 762
2.25 2.238520507129711e-27 1142
2.5 1.947945515992316e-27 1250
2.75 2.672675774068473e-27 1458
3 2.68126263086027e-27 1814
3.25 2.784191992486157e-27 2178
3.5 2.844563539579629e-27 2498
3.75 2.342290836480056e-27 2622
4 2.618535512462372e-27 3338
4.25 2.443625368437604e-27 3722
4.5 2.205530456016695e-27 4170
4.75 1.838491005447561e-27 4358
5 1.773191786236792e-27 5034
5.25 1.861492429524118e-27 5714
5.5 2.04693228578208e-27 5982
5.75 2.455868749039964e-27 6602
6 2.654920994708244e-27 6923
6.25 2.153042801570736e-27 7032
6.5 1.458406693871915e-27 6632
6.75 9.91562255138428e-28 5988
7 6.946714210078229e-28 5744
7.25 4.128962293685509e-28 5048
7.5 1.798256458056815e-28 4452
7.75 5.95080264711286e-29 3920
8 2.010187301923891e-30 3096
8.25 1.573038146480805e-39 2552
8.5 8.37594108152931e-40 1755
8.75 4.113191066687038e-40 1220
9 2.058123634527871e-40 782
