1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
0.25 4.961058212553954e-18 3.155087700888664e-16 18
0.5 2.83116649091505e-17 2.329462128456078e-15 62
0.75 6.539020228663387e-17 8.756021944380632e-15 98
1 2.039265766670345e-16 2.183509906155739e-14 210
1.25 4.451213742393475e-16 5.022380227746063e-14 350
1.5 6.865198721425931e-16 8.244968356486312e-14 450
1.75 1.002115087575334e-15 1.044704122945745e-13 602
2 1.566631938726462e-15 1.842020266208233e-13 762
2.25 2.713771045948535e-15 3.198562029712735e-13 1142
2.5 3.095699347703694e-15 4.035103361345321e-13 1250
2.75 4.361671323875825e-15 4.756895639386336e-13 1458
3 5.250284536844099e-15 6.513243497139839e-13 1814
3.25 6.864665204808539e-15 8.199209867681588e-13 2178
3.5 8.766227072115036e-15 1.110074540715564e-12 2498
3.75 9.370337215465812e-15 1.267212694783773e-12 2622
4 6.144421019234543e-15 8.300343534580385e-13 3338
4.25 2.202843993671878e-46 2.893876351643472e-44 3722
4.5 2.387992268266442e-46 3.025635986997124e-44 4170
4.75 2.586396992071409e-46 3.090163039341659e-44 4358
5 2.749628837980631e-46 3.364791827871785e-44 5034
5.25 3.088849151661665e-46 3.778508185340859e-44 5714
5.5 3.382165650540716e-46 3.995638668870709e-44 5982
5.75 3.412919183092256e-46 4.294567699480166e-44 6602
6 3.691988542128164e-46 4.710644212351923e-44 7130
6.25 4.506362632155285e-46 5.57903944509764e-44 8034
6.5 4.90538380128509e-46 5.695303542596227e-44 8606
6.75 4.787225364296515e-46 6.137021774861122e-44 9066
7 5.117254746912766e-46 6.507074322637353e-44 9962
7.25 5.450982043103405e-46 7.005351402023809e-44 10550
7.5 5.752529230940007e-46 7.104992165736839e-44 11226
7.75 6.29499484805467e-46 8.048159133824867e-44 12146
8 5.696648569247393e-46 7.623127448907197e-44 12303
8.25 5.222332351074937e-46 6.825726075897841e-44 12584
8.5 4.409268906998739e-46 5.640958877915315e-44 12120
8.75 3.484197822354253e-46 4.406132260473891e-44 11180
9 3.185769949651769e-46 4.006585927922962e-44 11096
9.25 2.857521528930733e-46 3.769186686526281e-44 10056
9.5 2.750616468235327e-46 3.287093685050669e-44 9716
9.75 2.403831449485478e-46 3.002922051611146e-44 8604
10 2.246369039395927e-46 2.901303822771984e-44 8060
10.25 2.072841218064376e-46 2.610422841077475e-44 7320
10.5 1.773798794033719e-46 2.192379874087665e-44 6356
10.75 1.445863998701811e-46 1.778213020596287e-44 5348
11 1.063687917765856e-46 1.356374535082629e-44 4308
11.25 7.942794219401967e-47 1.018745282354489e-44 3563
11.5 5.200896639482278e-47 6.909036680515811e-45 2448
11.75 3.947856413814579e-47 5.262607293919485e-45 1868
12 2.776360559635966e-47 3.743706015319361e-45 1358
