#t    E^kin_scal0    E^grad_scal0    E^kin_scal1    E^grad_scal1    Vpot_term_0    Vpot_term_1    E_tot
0    0.125000208327257    5.99749602514328e-14    2.43082251294073e-13    1.87466119434509e-14    0.250000000000022    2.41877546590495e-13    0.375000208327843
0.5    0.0694732610601796    1.19159239753121e-14    5.2124991915574e-14    3.47892902791681e-15    0.0720499151730538    5.35748284429485e-14    0.141523176233354
1    0.0307207421041665    3.03553744074921e-15    1.20232809731936e-14    1.01380239448321e-15    0.0110937681102814    1.19695528780321e-14    0.0418145102144759
1.5    0.0115958787756252    1.2952358390264e-15    3.29187934359702e-15    5.2150367046906e-16    0.000653020997519687    2.48998290761625e-15    0.0122488997731525
2    0.00452350675793125    6.82215647285167e-16    8.19114491452576e-16    5.42209727842427e-16    1.66076910866956e-06    1.90642988381181e-16    0.00452516752704216
2.49999999999999    0.00211152606309392    4.19176989483146e-16    4.86491195472965e-16    3.97333424386804e-16    1.09694207675247e-05    5.48019430789842e-16    0.00212249548386329
2.99999999999998    0.000925890701155491    2.54811352937293e-16    6.11144352675427e-16    1.32693465352975e-16    0.000282862954587137    1.09724431617397e-15    0.00120875365574472
3.49999999999997    8.53073686116075e-05    1.64203167524032e-16    1.02997574927762e-15    5.42438619835673e-17    0.00087379276958291    6.98397638799425e-16    0.000959100138196465
3.99999999999996    0.000183073682170406    1.11486852732554e-16    7.40325373313921e-16    3.56896630986594e-17    0.000745945948101235    5.16469749132037e-16    0.000929019630273045
4.49999999999995    0.000520658819592069    7.90125698250192e-17    3.98830836560028e-16    2.53681090576224e-17    0.000181492109084923    2.65261700290221e-16    0.000702150928677761
4.99999999999994    0.00043053381801015    6.1495955928287e-17    1.4987430804839e-16    3.83693923284063e-17    8.98410419463815e-06    9.33502398426368e-17    0.000439517922205131
5.49999999999993    0.000279958080897832    4.6752869272586e-17    5.25476177540282e-17    5.28370226009462e-17    1.1294712954884e-12    8.0585909853248e-20    0.000279958082027456
5.99999999999992    0.000183329044664796    3.5458075655207e-17    1.50637084223498e-16    1.68659776344985e-17    5.98214147698264e-06    8.79389584637864e-17    0.00018931118614207
6.49999999999991    8.0105447709803e-05    2.53068894906732e-17    2.32568483464819e-16    8.57808207150404e-18    6.17615812074076e-05    8.42251340656245e-17    0.000141867028917561
6.9999999999999    5.48905441684744e-07    1.83535193637009e-17    1.85902905204538e-16    5.10443202081453e-18    0.000130623831201988    1.36984530229994e-16    0.000131172736644019
7.49999999999988    4.86110698164875e-05    1.59687583355128e-17    1.20534146060549e-16    4.65754575617416e-18    7.64659624812247e-05    1.14004588109064e-16    0.000125077032297967
