1:binCentralValue 2:valuesAverage 3:multiplicity
27 1.421690141237411e-44 56
27.5 7.536673096264253e-46 7

0.5 2.972227063352985e-27 18
1 3.117660268760927e-27 62
1.5 1.703670066274612e-27 98
2 1.845015122037511e-26 210
2.5 1.020071361525607e-26 350
3 3.862890475033158e-27 450
3.5 2.523012767509695e-27 602
4 2.115611089385514e-27 762
4.5 1.946607552636415e-27 1142
5 1.35505552241118e-27 1250
5.5 9.355827458670195e-28 1458
6 6.202953840346791e-28 1814
6.5 2.41994871646406e-28 2178
7 7.941035480187025e-29 2498
7.5 1.156703481737777e-29 2622
8 3.88239374734867e-31 3338
8.5 9.144656390714786e-41 3722
9 5.158911395173578e-41 4170
9.5 2.868327317534208e-41 4358
10 1.271945980643577e-41 5034
10.5 4.540674339491028e-42 5714
11 1.003489930344124e-42 5982
11.5 2.236449320769639e-43 6602
12 1.805988986148249e-43 7130
12.5 2.432550023148162e-43 8034
13 2.999315929263171e-43 8606
13.5 3.700938958365506e-43 9066
14 4.363286845796339e-43 9962
14.5 5.509218559902691e-43 10550
15 6.740963228339821e-43 11226
15.5 8.070390590718247e-43 12146
16 8.658684625116632e-43 12303
16.5 9.506089256560461e-43 12584
17 9.904729808234748e-43 12120
17.5 9.685990289208383e-43 11180
18 1.027888085734862e-42 11096
18.5 9.865429681110913e-43 10056
19 1.005141114504254e-42 9716
19.5 9.41677007197546e-43 8604
20 9.649475206103419e-43 8060
20.5 9.727822499648179e-43 7320
21 8.801359920733562e-43 6356
21.5 8.088980821964992e-43 5348
22 6.87405957542964e-43 4308
22.5 5.904764241409749e-43 3563
23 4.210539762839895e-43 2448
23.5 3.325391963830207e-43 1868
24 2.35781232052111e-43 1358
24.5 2.120627123250915e-43 1062
25 1.589061045910481e-43 776
25.5 8.59497215642917e-44 432
26 4.18151681835473e-44 200
26.5 4.042479117071087e-44 168
27 1.334345158505405e-44 56
27.5 9.13012077462676e-46 7

0.5 3.162611748035336e-27 18
1 5.125199541418173e-26 62
