#t    <phi>    <pi>    <phi^2>    <pi^2>    rms(phi)    rms(pi)
0    1    -0.500000416654174    1.00000000000001    0.250000416654514    1.13483862666248e-07    4.08675572402042e-07
0.5    0.732695233529614    -0.557509753366281    0.536842305237023    0.310817125098608    8.56301291876177e-08    2.78187908873687e-07
1    0.458970496081097    -0.519545144360677    0.210653916272932    0.269927157028794    5.73751808920974e-08    1.93357883506441e-07
1.5    0.226072004119378    -0.406633367783465    0.0511085510465544    0.165350695794942    5.04516298560936e-08    1.40584992283578e-07
2    0.050768263908767    -0.300706532500506    0.00257741662031195    0.090424418688492    4.1691012304093e-08    1.18159538552392e-07
2.49999999999999    -0.0813881021928615    -0.233096213582748    0.00662402317855708    0.0543338447866249    3.76600650423363e-08    1.05000171302229e-07
2.99999999999998    -0.183404089899389    -0.170808027744618    0.0336370601918242    0.0291753823420161    3.15490237469479e-08    9.85837269973358e-08
3.49999999999997    -0.243145988877868    -0.0567604809158816    0.0591199719073976    0.00322175219381111    3.27434928080902e-08    9.45967452450054e-08
3.99999999999996    -0.233717825846729    0.0914189779602273    0.0546240221185225    0.00835742953129988    2.30621582643495e-08    8.57710677891052e-08
4.49999999999995    -0.164145671418999    0.169973014131948    0.0269438014455947    0.0288908255331052    2.31286372979047e-08    7.55501438514904e-08
4.99999999999994    -0.07742544192024    0.168779863060516    0.00599469905654492    0.0284866421747309    2.16075522101853e-08    6.61631247176087e-08
5.49999999999993    0.00145792034748122    0.146775575521668    2.12553174006299e-06    0.0215430695697206    2.15226455137245e-08    6.04415032575323e-08
5.99999999999992    0.0699405700643668    0.12682794150955    0.00489168334092902    0.016085326747553    2.0523227430582e-08    5.73900539432324e-08
6.49999999999991    0.125370281030103    0.088895751002807    0.0157177073655673    0.00790245454635629    1.77576124501539e-08    5.67424114482787e-08
6.9999999999999    0.15118914192581    0.00778644395960437    0.0228581566362629    6.06287095392879e-05    1.76361396696164e-08    5.68205613350722e-08
7.49999999999988    0.132245845532811    -0.0777167431857592    0.0174889636606885    0.00603989217140378    1.79369654527635e-08    5.02189098819016e-08
7.99999999999987    0.0828587731932344    -0.110450300992342    0.00686557629508803    0.0121992689893012    1.27040313943374e-08    4.73108606892284e-08
8.49999999999986    0.0279722273532089    -0.106280817202202    0.000782445503099838    0.0112956121051696    1.50884815647269e-08    4.13568832943215e-08
8.99999999999985    -0.0226845044770885    -0.0965249491842745    0.000514586743371259    0.00931706581502839    1.45451286995731e-08    4.03603110985178e-08
9.49999999999984    -0.0680719826193813    -0.0830049633383896    0.00463379481773353    0.00688982393880897    1.32588415862775e-08    3.95534499854248e-08
9.99999999999983    -0.101472608840405    -0.0446159765857566    0.010296690344878    0.00199058536670241    1.2930177032001e-08    4.04023500523087e-08
10.4999999999998    -0.107574442721143    0.0220094452787288    0.0115722607267647    0.000484415681478945    1.12705836155353e-08    3.9857697285321e-08
10.9999999999998    -0.0825924468302543    0.071174979576074    0.00682151227340853    0.00506587771765587    1.20914886923895e-08    3.63574988394686e-08
11.4999999999998    -0.0431031964955387    0.0819052531775774    0.00185788554813315    0.00670847049808413    1.15212547336019e-08    3.28355202891646e-08
11.9999999999998    -0.00316245804201102    0.0771960505235715    1.00011408676036e-05    0.00595923021643883    1.11104231550646e-08    3.22020316233233e-08
12.4999999999998    0.0340160707080909    0.0712140497648171    0.00115709306641796    0.00507144088390676    1.10551618409808e-08    3.0255473042086e-08
