#t    <phi>    <pi>    <phi^2>    <pi^2>    rms(phi)    rms(pi)
0    1.29246970711411e-25    7.05688460084302e-24    4.03129243134388e-15    4.86164502588146e-13    6.3492459641629e-08    6.97254976739604e-07
0.5    -1.22125992299977e-15    1.87890328635844e-15    1.66327020260292e-15    2.33202528364875e-13    4.07832098124083e-08    4.82910476553237e-07
1    1.44988616178544e-16    -1.21446429646777e-16    9.47015615716724e-16    1.0564230643414e-13    3.07736188271176e-08    3.25026624192757e-07
1.5    -2.47877000609123e-16    2.57787928007418e-15    8.1199161307575e-16    4.69403441057809e-14    2.84954665354991e-08    2.16657204140044e-07
2    5.06831896028011e-17    1.28410112344185e-16    1.23277820523897e-15    1.63740115119874e-14    3.51109413892447e-08    1.27960976520138e-07
2.49999999999999    1.25284790544081e-16    -2.77994098291433e-16    1.37886855732159e-15    1.25184043743967e-14    3.71331194127506e-08    1.11885675465614e-07
2.99999999999998    -2.91868771337726e-16    -1.43222411016247e-17    5.4366835898046e-16    1.92575323774367e-14    2.33166969997995e-08    1.38771511404311e-07
3.49999999999997    3.49749033197066e-16    -1.3361506036842e-15    1.96887114043792e-16    3.88984759911571e-14    1.40316468756804e-08    1.97226965679536e-07
3.99999999999996    2.92471471184506e-16    -3.70198304241416e-16    1.57583217401662e-16    3.37963221384561e-14    1.25532154208259e-08    1.83837760371628e-07
4.49999999999995    9.55459970987602e-17    1.14378866583665e-15    1.6408331847705e-16    2.21307153219952e-14    1.28095011018014e-08    1.48763958410615e-07
4.99999999999994    -2.38423041557313e-16    6.16151872111927e-16    2.59535516518584e-16    9.91656312689289e-15    1.6110106036851e-08    9.95819417710505e-08
5.49999999999993    3.96564543880811e-16    8.406079794759e-16    6.31888250555846e-16    4.04359460304789e-15    2.51373875045886e-08    6.35892648412284e-08
5.99999999999992    5.95166740193102e-16    -2.04320643426649e-15    2.99620642409909e-16    1.32169276530295e-14    1.73095535011712e-08    1.14964897481925e-07
6.49999999999991    -1.34089911794777e-16    3.08968398351826e-15    8.93102404501664e-17    2.29430322411248e-14    9.45040953875367e-09    1.51469575298556e-07
6.9999999999999    -2.01788894493793e-16    1.37868812173588e-15    9.98801230339351e-17    2.05336882934912e-14    9.99400435430839e-09    1.43295806964095e-07
7.49999999999988    -2.16613047546144e-16    2.04441781494117e-15    1.08644314846637e-16    1.49762851944276e-14    1.04232583603515e-08    1.22377633554615e-07
7.99999999999987    -2.37717435207829e-16    -1.77876549173508e-15    1.51219191778578e-16    8.78430800805678e-15    1.22971212801443e-08    9.37246392794167e-08
8.49999999999986    4.50812958083301e-17    1.85917234807641e-15    2.12975960782411e-16    5.08872821544754e-15    1.45936959260638e-08    7.133532235469e-08
8.99999999999985    9.51324226226526e-16    1.31437812165061e-15    8.19089959170499e-16    2.05334477898748e-15    2.86197477132573e-08    4.5313847541204e-08
9.49999999999984    -2.37702790666555e-16    -4.88342164669122e-15    1.46427881122329e-16    1.74434567723378e-14    1.21007388667936e-08    1.32073679332173e-07
9.99999999999983    5.65700025793059e-16    -1.86601181211772e-16    1.97023522394136e-16    1.35507938636176e-14    1.40365067732017e-08    1.16407877154502e-07
10.4999999999998    6.34220206470764e-16    3.9475879445058e-15    1.84621638954623e-16    9.96311086813956e-15    1.35875545612381e-08    9.98153839252224e-08
10.9999999999998    4.26403751944817e-16    5.88981799976757e-15    2.14792021587276e-16    7.13437440646452e-15    1.4655784577677e-08    8.44652260191405e-08
11.4999999999998    -5.99983642421615e-16    3.71051285780498e-16    2.79944581973459e-16    5.01930837667595e-15    1.67315445184675e-08    7.08470774039124e-08
11.9999999999998    5.68976877618889e-16    2.42962950089914e-15    5.76441571743953e-16    5.11898977656595e-15    2.40091976489001e-08    7.1547115780903e-08
12.4999999999998    1.60153264767855e-15    -2.07073747827059e-16    1.11506055783431e-15    8.99583569794129e-15    3.33925224838483e-08    9.48463794667002e-08
12.9999999999998    -1.08218922096692e-15    2.87188984710141e-15    3.37260970558886e-16    3.00458127185605e-14    1.83646663612189e-08    1.73337280232962e-07
13.4999999999998    -8.15819301295886e-16    -2.88585326521492e-15    4.17399165579694e-16    7.05515866398877e-15    2.04303491301469e-08    8.399499189826e-08
13.9999999999997    -8.41824602058743e-16    -1.47980100446343e-15    4.01312374020373e-16    7.54106784634619e-15    2.00327824832292e-08    8.68393220053346e-08
14.4999999999997    -1.63535640531399e-16    -7.24181917654037e-15    8.89045046478606e-17    3.52355456233462e-14    9.42891853013168e-09    1.87711335894629e-07
14.9999999999997    -5.56891684083476e-16    3.40824554246715e-15    1.43107531969635e-16    1.52730504929454e-14    1.19627560356983e-08    1.23584183830074e-07
15.4999999999997    1.40991890065334e-15    3.08945042904645e-15    2.6083838202715e-15    5.93920688489173e-15    5.10723390914446e-08    7.70662499729403e-08
15.9999999999997    -8.90487556728806e-16    -9.98442941124602e-15    9.04773043686574e-17    8.87653035880664e-14    9.51195586452422e-09    2.97935066059815e-07
16.4999999999998    1.40877574022627e-15    -1.11703153553952e-14    1.09216928054655e-15    7.15278730002764e-15    3.30479845156486e-08    8.45741526710585e-08
16.9999999999999    1.7339040797542e-15    -7.03111876804678e-15    8.57769856980674e-16    1.68682411200741e-14    2.92877082917164e-08    1.29877793021263e-07
17.4999999999999    1.66388020222776e-15    4.81990921596203e-15    6.36616256405352e-16    5.31184269284836e-14    2.52312555455599e-08    2.30474351997101e-07
18    -1.49920148980346e-15    3.77033327287027e-15    1.57766371674975e-15    6.10407772697007e-15    3.97198151651004e-08    7.81285973697855e-08
18.5000000000001    9.77110725144865e-16    3.87193146933914e-15    1.76763597421171e-15    2.63865731080465e-14    4.20432631251632e-08    1.62439444434061e-07
19.0000000000002    1.7303201072683e-15    -6.62461774230526e-15    6.80301191504311e-15    1.76268792784038e-14    8.24803729080022e-08    1.32766258056796e-07
19.5000000000002    -6.09643415314092e-16    2.37875390223835e-14    2.80053561632131e-15    6.51377463645667e-14    5.29200870777941e-08    2.55220975557586e-07
20.0000000000003    -2.48962424268879e-15    2.16268546255463e-14    1.99005813449946e-15    6.59072119942213e-14    4.46100676361229e-08    2.56723999645964e-07
20.5000000000004    -2.6495499577487e-15    1.59017612216919e-14    1.76984235905235e-15    9.36006595693218e-14    4.20694943997707e-08    3.05942248748553e-07
21.0000000000005    -1.21353182682355e-15    -1.28492345721028e-14    1.7625194673475e-16    2.14409820879185e-13    1.32759913654216e-08    4.63044080924467e-07
21.5000000000006    -8.8675617524391e-16    3.75127462199925e-15    5.41806123923033e-16    8.74408744294093e-14    2.3276729235935e-08    2.95704031811217e-07
22.0000000000006    1.3635305209632e-15    3.81673802510137e-15    1.40520186762015e-14    4.16321571702404e-14    1.18541210877068e-07    2.04039597064492e-07
22.5000000000007    -7.2223614232247e-18    -6.26849167380319e-15    4.14508143861825e-16    5.5001770264699e-13    2.03594730742676e-08    7.41631783735696e-07
23.0000000000008    -1.32721659817099e-16    1.39198202097828e-14    6.21774391312431e-15    1.01640552129455e-13    7.88526722002769e-08    3.1881115433663e-07
23.5000000000009    -2.24161366667961e-15    3.34347019901393e-14    3.93181239375574e-15    3.26654764887468e-13    6.27041656810433e-08    5.71537194666687e-07
24.000000000001    -4.34303709647167e-15    2.33464874672766e-14    2.09599964757927e-15    5.46902685465529e-13    4.57820887201453e-08    7.39528691441737e-07
24.500000000001    2.12737170016753e-16    -2.45396009030102e-14    1.06168312768014e-14    2.00225802365182e-14    1.03038008893812e-07    1.41501166908678e-07
25.0000000000011    -5.36976407664893e-16    7.20112100035642e-15    9.00059146889175e-15    1.84252507568164e-13    9.48714470686083e-08    4.29246441532326e-07
25.5000000000012    6.58195961708097e-15    3.5512237383337e-14    4.9155876013661e-14    5.26446195333067e-14    2.21711244671219e-07    2.29444153408418e-07
26.0000000000013    -4.54669294649291e-15    -1.31709755910836e-13    2.28600252240025e-14    1.36687273348203e-13    1.51195321435561e-07    3.69712419791634e-07
26.5000000000013    1.15513016867334e-14    -1.4592163561552e-13    9.18101018626507e-15    1.11817192160246e-12    9.58175880841557e-08    1.05743648584794e-06
27.0000000000014    1.07498725973465e-14    -1.08685129446473e-13    7.54525675419744e-15    1.3291540612752e-12    8.68634373841913e-08    1.15288944017854e-06
27.5000000000015    8.51753123919539e-15    1.91741697678268e-14    2.6010830461856e-15    1.41638138029016e-12    5.10008141717907e-08    1.1901182211403e-06
28.0000000000016    -6.08384141528182e-15    -3.27654280827808e-15    4.66262630874681e-15    6.14020631643523e-13    6.82834263108317e-08    7.83594685818838e-07
28.5000000000017    -2.41605034515772e-15    8.65658945793382e-15    9.40827554539677e-14    3.37051719884459e-13    3.06729123908976e-07    5.80561555637694e-07
29.0000000000017    -6.13730067490008e-15    -1.82934817150731e-14    8.57638476699335e-15    3.81840101727586e-12    9.26087726243757e-08    1.95407293038818e-06
29.5000000000018    8.30869068848404e-15    -9.76334656940532e-14    3.54761968904963e-14    1.98577035188013e-12    1.8835125932814e-07    1.40917364149352e-06
30.0000000000019    1.52145596041313e-14    -8.75420394708222e-14    1.61154136716305e-14    4.52578395989008e-12    1.26946499249212e-07    2.12738900060381e-06
30.500000000002    1.61080640658809e-14    -3.28079047336777e-15    5.68843326765507e-15    5.26638578900396e-12    7.5421702895485e-08    2.2948607341196e-06
31.000000000002    -7.15196007539665e-15    6.0149955600816e-14    7.86791145866321e-14    2.1788564078802e-13    2.80497976082952e-07    4.66782219871341e-07
31.5000000000021    5.92177932619727e-15    2.1656860144112e-15    5.55964813042411e-14    1.48454292110163e-12    2.35789061036005e-07    1.21841820451831e-06
32.0000000000022    3.33464186602043e-15    -3.17221488737413e-14    3.9888637044543e-13    1.67071896513142e-13    6.3157451693797e-07    4.08744292330965e-07
32.5000000000021    -6.35532514141286e-15    1.0002997965545e-13    1.90768429851157e-13    2.36991960145667e-13    4.36770454416455e-07    4.8681820030239e-07
33.000000000002    -1.38833232847572e-14    2.00808761349299e-15    3.60585896845991e-14    1.42058349981986e-11    1.89890994216679e-07    3.76906288063739e-06
33.5000000000019    -1.2110130539413e-14    -9.71390352448875e-15    2.60113397623255e-14    1.55648255192185e-11    1.61280314243014e-07    3.94522819608936e-06
34.0000000000018    -4.03804816333243e-15    -6.48145533734879e-14    4.43434155606408e-14    9.6445172314007e-12    2.10578763318243e-07    3.10556230518737e-06
34.5000000000017    1.09495938772485e-15    1.46983497032633e-14    5.08167759508835e-14    4.7897227115345e-12    2.25425765942768e-07    2.18854351374025e-06
35.0000000000016    5.59043895774713e-15    7.21810058848908e-15    7.10972087358079e-13    2.98482445913062e-12    8.43191607736983e-07    1.72766445212333e-06
35.5000000000015    -2.12634606382998e-15    -2.84140629463518e-14    1.49308914800973e-13    2.85099636720465e-11    3.86405117462196e-07    5.3394722278561e-06
