#t    rel_diff_friedmann    LHS_friedmann    RHS_friedmann
0    -8.114610840691e-17    1.36817778008269    1.36817778008269
0.3535535    -1.90613151344937e-05    2.58366553640569    2.58376403440918
0.707106999999999    -7.20032988002985e-06    2.94442764721633    2.94447004922238
1.0606605    5.15112786222534e-06    2.27172882132514    2.27170541751444
1.414214    2.09331928836554e-06    1.64933057900732    1.64932367387075
1.76776750000001    3.16769448374398e-06    1.28188137962978    1.28187325843835
2.121321    1.75130551866003e-05    1.09475551387895    1.09471716952302
2.4748745    5.80479582212825e-06    1.24775955283971    1.24774506694492
2.82842799999999    -6.51578796269305e-06    1.7658895623195    1.76591257479335
3.18198149999998    1.03253287468135e-05    1.97198383821703    1.97194311587467
3.53553499999997    1.19836825693018e-05    1.75511415285183    1.75507208789416
3.88908849999997    9.65195377069764e-06    1.51210151830553    1.51207232911936
4.24264199999997    1.73377730801326e-05    1.3293489191183    1.32930282401767
4.59619549999999    2.69775946661217e-05    1.2593757775025    1.25930782947706
4.949749    3.96625958741882e-06    1.45968531011197    1.45967373117618
5.30330250000002    9.91870860181444e-06    1.76126518523515    1.76123024662941
5.65685600000003    2.02936056829437e-05    1.76290217370932    1.76283062387819
6.01040950000005    1.63539417443143e-05    1.60410642871303    1.60405396264488
6.36396300000006    1.76339627454387e-05    1.45629091125243    1.45623955179875
6.71751650000007    2.9414629161202e-05    1.34610347642853    1.34602428848867
7.07107000000009    2.44044755297689e-05    1.36620680141013    1.36614011991655
7.4246235000001    7.02524417650158e-06    1.58534157198324    1.58531929731643
7.77817700000012    2.36105083942556e-05    1.7238697053611    1.72378830440272
8.13173050000013    2.36847768004332e-05    1.65073495236334    1.65065675963751
8.48528400000015    2.03233007814941e-05    1.531638284207    1.53157602958114
8.83883750000016    2.65648383094868e-05    1.427528470975    1.4274526288637
9.19239100000018    3.62568729622065e-05    1.37137804222863    1.37127860207509
9.54594450000019    1.59419863972625e-05    1.46536415330941    1.46531743242343
9.89949800000021    1.90125522652581e-05    1.64504069203029    1.64497814037528
10.2530515000002    3.01502196930179e-05    1.66759500236091    1.66749444868127
10.6066050000002    2.50647747943287e-05    1.58073569153288    1.58065645195077
10.9601585000002    2.54449775399046e-05    1.48946154965901    1.4893857529563
11.3137120000003    3.59091244262826e-05    1.41446118250911    1.41435960203158
11.6672655000003    3.32856223490399e-05    1.41463100645766    1.4145368358453
12.0208190000003    1.46060552567014e-05    1.54968266200113    1.54963739316115
12.3743725000003    3.12121214500206e-05    1.6515388456995    1.65143575285518
12.7279260000003    3.1328958178895e-05    1.61306517580963    1.61296410767312
13.0814795000003    2.70867339597265e-05    1.53486704111929    1.53478389430105
13.4350330000004    3.2329826684759e-05    1.46237592962217    1.46228137595837
13.7885865000004    4.19839436998343e-05    1.41753183944112    1.41741281728426
14.1421400000004    2.36102762612383e-05    1.47399285653814    1.47392325542434
14.4956935000004    2.45128277164186e-05    1.60194733081598    1.60186879622323
14.8492470000004    3.678106060038e-05    1.62740067790884    1.62728096726601
15.2028005000004    3.1163713661211e-05    1.56902713294519    1.56892934256811
15.5563540000004    3.07683704416493e-05    1.50313421957929    1.50304172444423
15.9099075000005    4.03673674664952e-05    1.44627172339031    1.44615496373936
16.2634610000004    3.94092363476159e-05    1.4399072681939    1.43979378137462
16.6170145000003    1.99262466260082e-05    1.53527666189098    1.53521547850733
16.9705680000003    3.62957150798417e-05    1.61693714664012    1.61681977512025
17.3241215000002    3.69719999423559e-05    1.59367666403195    1.59355882556161
17.6776750000001    3.20454224584905e-05    1.53576837222672    1.53566994668823
18.0312285    3.64913615760136e-05    1.4801922538886    1.48008422936908
18.384782    4.61580982689771e-05    1.44276198147366    1.44262879732255
18.7383354999999    2.945108484759e-05    1.48021747635033    1.48013029089706
19.0918889999998    2.83061013829332e-05    1.57943773132229    1.57934831840412
19.4454424999997    4.17169892938386e-05    1.60515440104103    1.60502048220979
19.7989959999997    3.58813958980581e-05    1.56206386581085    1.56195177176896
20.1525494999996    3.48062234066822e-05    1.51055585332547    1.51045070349634
20.5061029999995    4.37244190025476e-05    1.46469094706121    1.46456286714007
20.8596564999994    4.41623579676146e-05    1.45546833034185    1.45533978219201
21.2132099999994    2.41008885479684e-05    1.52762449887943    1.52755086643846
21.5667634999993    3.99718780900043e-05    1.59653873696411    1.59641110876213
21.9203169999992    4.14614814896159e-05    1.58183823323359    1.58170706795864
22.2738704999991    3.59786207650243e-05    1.5360684177328    1.53595789046328
22.6274239999991    3.97316185153553e-05    1.49101127886427    1.49089280298884
22.980977499999    4.94184151743475e-05    1.45872569432013    1.45858152562075
23.3345309999989    3.42810901283672e-05    1.48475036459136    1.48464857035885
23.6880844999988    3.11198140544715e-05    1.5655423382703    1.56544490252956
24.0416379999988    4.56077853688397e-05    1.59096327175489    1.59081815775036
24.3951914999987    3.97556096567431e-05    1.55745380521979    1.55732997509165
24.7487449999986    3.80634528686387e-05    1.51520772918583    1.51509238550023
25.1022984999985    4.63884820219973e-05    1.47672548911949    1.4765884893671
25.4558519999985    4.80645129788084e-05    1.466074587166    1.46593366161747
25.8094054999984    2.76110614493444e-05    1.5229248145626    1.52284071774333
26.1629589999983    4.27425357621264e-05    1.58300491459352    1.58286959708899
26.5165124999982    4.52027265813379e-05    1.5738355952448    1.57369331835591
26.8700659999982    3.92555764670278e-05    1.53616526126413    1.53604465989265
27.2236194999981    4.23765716368265e-05    1.49828088273284    1.49815390409944
27.577172999998    5.20640894638645e-05    1.4697770983653    1.46962406112036
27.9307264999979    3.8464384211854e-05    1.48820082111253    1.48808634005964
28.2842799999979    3.33143903927073e-05    1.55606281795958    1.55595914284507
28.6378334999978    4.87809669518507e-05    1.58107189985379    1.58091765494581
28.9913869999977    4.3064907922068e-05    1.55417442182157    1.55404056682928
29.3449404999977    4.07994599159814e-05    1.51839435831987    1.51827046403517
29.6984939999976    4.857659209829e-05    1.48521838478078    1.48507409809442
30.0520474999975    5.13697951885522e-05    1.4738176741041    1.47366626245796
30.4056009999974    3.07065556509297e-05    1.51977240566632    1.5196790745803
30.7591544999974    4.48771640907434e-05    1.57330837646462    1.57316717156514
31.1127079999973    4.84172295666704e-05    1.56804418881294    1.56789235545337
31.4662614999972    4.20796553763036e-05    1.53618285730693    1.53605357865647
31.8198149999971    4.46075820387757e-05    1.5035032885187    1.50336915920931
32.1733684999971    5.42629599884838e-05    1.47790988717718    1.47774950434988
32.5269219999972    4.21917276569557e-05    1.49093923485194    1.49081342955558
32.8804754999974    3.50974742157503e-05    1.54915020855331    1.54904146985076
33.2340289999975    5.14225548082536e-05    1.57374247980783    1.57358063641239
33.5875824999976    4.59710772236082e-05    1.55171831938725    1.55157565762018
33.9411359999977    4.31651288487004e-05    1.52071313800509    1.52058186011463
34.2946894999978    5.04187931257903e-05    1.49154146513221    1.49139106927385
34.6482429999979    5.42227594431049e-05    1.47975730101169    1.47959683666417
35.001796499998    3.35319473983791e-05    1.51753329910883    1.51743153082779
35.3553499999981    4.65385711045868e-05    1.56597347548987    1.56582772593697
35.7089034999982    5.12376561248289e-05    1.5636411121114    1.56348088570981
36.0624569999983    4.4574592530238e-05    1.53616721421888    1.53603027226775
36.4160104999984    4.65360797921198e-05    1.5074375581295    1.50729726418926
36.7695639999985    5.61202755269735e-05    1.484165585429    1.48399901121402
37.1231174999986    4.55732865949254e-05    1.49319048404803    1.4930543910545
37.4766709999987    3.66015099827392e-05    1.54386448810498    1.54375147669842
37.8302244999988    5.36474644830897e-05    1.56806049974896    1.56789226383446
38.1837779999989    4.85758424128301e-05    1.54980570099048    1.549655142069
38.537331499999    4.52559662349372e-05    1.52247587538238    1.52233807938485
38.8908849999991    5.19996022920263e-05    1.4964379993422    1.49628237907275
39.2444384999992    5.67143873490173e-05    1.48448686036264    1.48431848638624
39.5979919999993    3.61765661650251e-05    1.51588112733696    1.51577145255682
39.9515454999994    4.78342307141646e-05    1.5601954739074    1.56004621954636
40.3050989999995    5.37487272566724e-05    1.56016498956534    1.55999728481425
40.6586524999996    4.68211797163484e-05    1.53613738042684    1.53599353963292
41.0122059999997    4.82354980515924e-05    1.51050854309045    1.51036282985522
41.3657594999998    5.77074121857122e-05    1.48914128883438    1.4889694297716
41.7193129999999    4.86767685760711e-05    1.49509608797159    1.49495054216374
42.0728665    3.79172533013796e-05    1.53967769287459    1.5395609366035
42.4264200000001    5.55312413459746e-05    1.56349894580567    1.56332530937331
42.7799735000002    5.09469166707933e-05    1.54826973473631    1.54811198363492
43.1335270000003    4.71362564037978e-05    1.52386110418628    1.52371745274201
43.4870805000005    5.33772637563664e-05    1.50034575763036    1.50018559747681
43.8406340000006    5.89064161336895e-05    1.48836417458649    1.48818883651617
44.1941875000007    3.86973503652964e-05    1.51463121606487    1.51451399617129
