#t    av|LHS-RHS|_over_av|LHS+RHS|    av|LHS|    av|RHS|
0    4.40317335434807e-11    32.6385767592724    32.6385767595142
0.3535535    4.41942915950418e-11    32.9923180685367    32.99231806923
0.707106999999999    7.63061623073589e-11    26.5564875989071    26.5564875995048
1.0606605    1.88792467542104e-10    17.3546603477954    17.354660348031
1.414214    3.37501570322869e-10    13.0383810815189    13.038381081999
1.76776750000001    5.33028018268131e-10    10.3703973189483    10.3703973188646
2.121321    1.69780518657767e-10    18.5144317227063    18.5144317225288
2.4748745    5.490001628012e-11    33.1253002868695    33.1253002863823
2.82842799999999    5.85403495359346e-11    33.3052757251977    33.3052757247838
3.18198149999998    1.08849753478676e-10    25.0023627596269    25.0023627595886
3.53553499999997    1.98263785595752e-10    18.7158846650122    18.7158846650587
3.88908849999997    8.95645382633746e-10    8.97250069319741    8.97250069342271
4.24264199999997    1.94093475789066e-10    19.1493283974915    19.1493283971231
4.59619549999999    7.347853504778e-11    31.4414810246124    31.4414810251362
4.949749    7.57788654586114e-11    31.4414629135144    31.4414629133189
5.30330250000002    9.25898759406889e-11    29.0856981313212    29.0856981308103
5.65685600000003    1.58414699655657e-10    22.6043178084846    22.6043178083763
6.01040950000005    3.30047824942493e-10    15.7473970290448    15.7473970293254
6.36396300000006    5.69934072850788e-10    11.9802980126398    11.9802980127035
6.71751650000007    7.59402710710182e-11    32.9033963594047    32.9033963590183
7.07107000000009    8.81826414207149e-11    30.872978462796    30.8729784624099
7.4246235000001    9.20064048810667e-11    30.4718805325316    30.471880532312
7.77817700000012    1.60093960143951e-10    23.622323174644    23.6223231754636
8.13173050000013    1.47279007183773e-10    24.6688843625042    24.6688843632326
8.48528400000015    3.53227039118413e-10    15.8748624703085    15.8748624708656
8.83883750000016    2.50015884394333e-10    18.9567443775971    18.9567443773073
9.19239100000018    5.08095336677041e-11    42.2314452220017    42.2314452225108
9.54594450000019    1.13211767310642e-10    28.6695525919324    28.6695525914623
9.89949800000021    1.13721041759164e-10    28.9988787655505    28.9988787651367
10.2530515000002    4.50701487797973e-11    46.1130025951327    46.1130025952338
10.6066050000002    1.0180729955575e-10    30.728943719061    30.728943719053
10.9601585000002    1.86367392519201e-10    22.7336528070387    22.73365280566
11.3137120000003    2.16418351228675e-11    66.5472849232467    66.5472849234081
11.6672655000003    1.30461622495798e-10    27.4755030084358    27.4755030077924
12.0208190000003    8.04389239685935e-11    35.5766775075598    35.5766775073934
12.3743725000003    3.86914471864941e-11    51.8505933574714    51.8505933571888
12.7279260000003    1.07101753716881e-10    31.1980624514815    31.1980624516254
13.0814795000003    8.61930809487408e-11    34.74433808298    34.7443380822554
13.4350330000004    3.27768679064723e-10    17.8937623872001    17.8937623871331
13.7885865000004    4.38751490803552e-11    48.6954886373626    48.6954886373994
14.1421400000004    2.8193301990077e-11    61.7999364287469    61.7999364284944
14.4956935000004    2.40485496087461e-11    67.7020305324092    67.7020305322325
14.8492470000004    1.05075918074827e-11    102.079690990319    102.079690991477
15.2028005000004    2.58343525351235e-11    65.2634089416838    65.2634089405848
15.5563540000004    4.37504859939934e-11    50.4287304271076    50.4287304264709
15.9099075000005    6.1279487388477e-12    134.27171806777    134.271718068821
16.2634610000004    1.93430411836116e-11    76.8862308494892    76.8862308498135
16.6170145000003    8.38690227140276e-12    117.487698247504    117.487698247263
16.9705680000003    5.6626334614536e-12    143.693790383565    143.693790383235
17.3241215000002    6.78085406480629e-11    41.5585114962405    41.5585114961376
17.6776750000001    2.0024204573717e-11    76.7887589398285    76.7887589393443
18.0312285    2.81060481952028e-10    20.5925638032929    20.5925638043319
18.384782    5.86454728780482e-11    44.7755793785198    44.7755793772905
18.7383354999999    3.13197400003972e-12    196.37642747175    196.376427471502
19.0918889999998    2.9381512924953e-12    204.809553118507    204.809553118505
19.4454424999997    2.77639375417457e-12    210.188355513953    210.188355514592
19.7989959999997    6.52096157797036e-12    137.412291098816    137.412291098205
20.1525494999996    1.03482141983469e-11    109.81316928951    109.8131692893
20.5061029999995    1.80201703225179e-12    261.813058510992    261.813058511424
20.8596564999994    2.12329551813116e-12    244.301547980962    244.301547980847
21.2132099999994    1.14491685344988e-12    333.911690411023    333.911690410873
21.5667634999993    1.06634121770346e-12    347.436973254149    347.436973254041
21.9203169999992    2.10873898039459e-11    78.7256508417488    78.7256508414598
22.2738704999991    4.68063683804992e-12    166.694480367406    166.694480367271
22.6274239999991    3.96869940563776e-11    57.7903681838935    57.7903681837632
22.980977499999    1.38672097874457e-11    97.7650193237659    97.7650193231173
23.3345309999989    5.10934837770478e-13    507.978913912743    507.978913912581
23.6880844999988    4.95584019244363e-13    519.474901944833    519.47490194469
24.0416379999988    8.17373714282783e-13    404.521582930267    404.521582930166
24.3951914999987    1.66165660130345e-12    284.270382236288    284.270382236292
24.7487449999986    2.4964773794163e-12    233.273460037461    233.273460037362
25.1022984999985    5.50658186321801e-13    494.674720634717    494.674720634067
25.4558519999985    3.35475095388589e-13    638.331541210275    638.331541210108
25.8094054999984    2.15774670134327e-13    800.610644399655    800.610644399544
26.1629589999983    2.4219250748481e-13    760.465841267316    760.465841267382
26.5165124999982    3.17707777014361e-12    212.450552298435    212.450552297969
26.8700659999982    1.10479915888494e-12    357.930829123544    357.930829122986
