#t    <|E|>    <|B|>    <|E|^2>    <|B|^2>    rms(|E|)    rms(|B|)
0    10.169796699944    0    122.251907013592    0    4.33902547761584    0
0.3535535    10.0783897335704    9.9841216801373e-07    120.06923936812    1.47793362512993e-12    4.30061620542721    6.93618604055607e-07
0.707106999999999    7.56109121508176    1.11509799776151e-06    67.5451698776396    1.87075372706679e-12    3.22103547246116    7.92029155053692e-07
1.0606605    6.29400521093782    9.58822384346811e-07    46.6283094404819    1.25038841459491e-12    2.6483594629826    5.75367751851292e-07
1.414214    3.94184308631303    1.25596376634063e-06    18.3230238195383    2.11762190271536e-12    1.66880103739916    7.34967292030622e-07
1.76776750000001    3.39590734942344    1.39480449657893e-06    13.5657178493317    2.39852909133489e-12    1.42601932787167    6.73089524252224e-07
2.121321    6.19586852050516    1.34871334390976e-06    45.0982244582521    2.31061308381544e-12    2.59025823710018    7.0113151389392e-07
2.4748745    8.93148196391259    1.43887750876767e-06    94.0043197396292    2.78798155300867e-12    3.77265817003521    8.47120456470751e-07
2.82842799999999    8.8522471622373    1.09464086429765e-06    92.3059459709514    1.5035133954113e-12    3.73412187128556    5.52516763203616e-07
3.18198149999998    6.03783379494504    1.13105312122339e-06    43.0170300040454    1.58204357147392e-12    2.56156067050247    5.5023850141984e-07
3.53553499999997    5.03883916975419    1.74602516891247e-06    29.8792380632287    3.84378627418208e-12    2.11880576848836    8.91729994844993e-07
3.88908849999997    3.19751423923636    2.61434795912972e-06    11.9155999445122    8.3896066681695e-12    1.30057780789652    1.24691275427104e-06
4.24264199999997    5.17681237821978    2.37676907348e-06    31.5483235753471    7.00745909858678e-12    2.17920562959478    1.16551613885687e-06
4.59619549999999    10.0587776897003    2.21213306015625e-06    118.569394074943    6.30799777834097e-12    4.17017810940129    1.18931286989787e-06
4.949749    8.73890405984526    1.69181173585434e-06    89.8014461493923    3.49743124286279e-12    3.66510599876899    7.96997047226858e-07
5.30330250000002    7.89570403239253    1.6312132479008e-06    73.3178756264954    3.21073952708648e-12    3.31296445187022    7.41540873424651e-07
5.65685600000003    7.66079275845407    1.9888040861222e-06    68.6252358955371    4.70992460808488e-12    3.15237850004639    8.68667321308049e-07
6.01040950000005    5.45748069386466    3.14594201626463e-06    34.7894253888542    1.20432924439464e-11    2.23725945409751    1.46503968350597e-06
6.36396300000006    4.10451149347051    4.39621266011849e-06    19.7341115502354    2.316659226675e-11    1.6991459472935    1.95956794058382e-06
6.71751650000007    12.1562679118015    3.31927292649091e-06    172.753376755021    1.34869868340088e-11    4.99785225987386    1.57143694543349e-06
7.07107000000009    8.70305083361856    2.73715358721737e-06    88.9224722880301    9.11625283317891e-12    3.63034137175574    1.27445795268499e-06
7.4246235000001    8.19495511795327    2.5356344263556e-06    79.016820665304    7.70126270830801e-12    3.44376701883788    1.12775031110096e-06
7.77817700000012    7.50231000470983    2.84091674764075e-06    66.1918142793758    9.67029254502105e-12    3.14756395846163    1.26470730922035e-06
8.13173050000013    7.17997196729684    3.84230060010717e-06    60.3625795358967    1.78914580776842e-11    2.96826246897545    1.7686673446695e-06
8.48528400000015    6.42887656008877    5.71446545834684e-06    48.5927679417207    3.88289720416019e-11    2.69486810750766    2.48472464610523e-06
