1:binCentralValue 2:valuesAverage 3:multiplicity
15 5.440108353724703e-43 18252
15.25 5.27255792047869e-43 16760
15.5 5.172118165237771e-43 15776
15.75 4.674721190129094e-43 13704
16 4.68989897421468e-43 13112
16.25 4.367682936616044e-43 11652
16.5 3.841961027632359e-43 9776
16.75 3.466133730302657e-43 8448
17 2.91330149083367e-43 7013
17.25 2.350263148606061e-43 5546
17.5 2.009900058468352e-43 4722
17.75 1.654517448784131e-43 3782
18 1.401500732897594e-43 3174
18.25 1.232109935790915e-43 2582
18.5 9.328145821303567e-44 1928
18.75 7.527270398622453e-44 1662
19 5.407386368660339e-44 1256
19.25 3.971764557554953e-44 864
19.5 2.163070860569297e-44 428
19.75 2.351242266550076e-44 456
20 1.166265199827583e-44 248
20.25 5.828855394311096e-45 104
20.5 8.900348080395965e-46 18
20.75 5.778104039931421e-46 7

0.25 1.131500026586493e-28 18
0.5 1.423619828636771e-28 62
0.75 2.713296425471959e-28 98
1 7.932166836217899e-28 210
1.25 1.125495546433157e-27 350
1.5 1.327474776963713e-27 450
1.75 1.2083357088924e-27 602
2 2.27471291254144e-27 762
2.25 2.992009910735639e-27 1142
2.5 2.540112751792255e-27 1250
2.75 2.375299902457236e-27 1458
3 2.555273956093497e-27 1814
3.25 2.548940511848604e-27 2178
3.5 2.485624148632813e-27 2498
3.75 2.31113954764145e-27 2622
4 2.357319730050991e-27 3338
4.25 1.920745282150738e-27 3722
4.5 1.697787483376247e-27 4170
4.75 1.39136682268639e-27 4358
5 1.19639827787713e-27 5034
5.25 1.05216887276202e-27 5714
5.5 8.801837294959037e-28 5982
5.75 7.84613869524793e-28 6602
6 6.189385991434651e-28 7130
6.25 4.349820729771832e-28 8034
6.5 2.668680734520393e-28 8606
6.75 1.646640714899638e-28 9066
7 9.655086674434108e-29 9962
7.25 4.904366678434891e-29 10550
7.5 2.172323660294276e-29 11226
7.75 6.307174901710781e-30 12146
8 2.37473279443282e-31 12606
8.25 1.344023422347178e-40 13802
8.5 1.015537914326951e-40 14754
8.75 7.736782293652491e-41 15194
9 6.421182161803142e-41 16454
9.25 5.346009522104064e-41 17154
9.5 4.523003264214535e-41 18266
9.75 3.528777158758321e-41 18750
10 2.824318712761382e-41 20234
10.25 2.027742550865206e-41 21450
10.5 1.354568420610356e-41 21962
10.75 8.69760052824311e-42 23462
11 4.621248030968808e-42 24042
11.25 2.184550563716433e-42 25946
11.5 8.370464694354029e-43 26118
11.75 4.829005948537631e-43 27506
12 4.761189052052918e-43 28631
12.25 4.948035471662415e-43 28596
12.5 4.956972415738916e-43 27848
12.75 4.876828402489748e-43 26544
13 5.175236768006824e-43 26456
13.25 5.08926437140053e-43 25284
13.5 5.140894938053181e-43 24260
13.75 5.114401756225077e-43 23312
14 5.199514199653366e-43 22368
14.25 5.321937605247397e-43 21872
14.5 5.124698620728634e-43 20400
14.75 5.095933419149569e-43 19040
15 5.137483014337814e-43 18252
15.25 4.906851452749025e-43 16760
15.5 4.88311791923302e-43 15776
15.75 4.480789223716257e-43 13704
16 4.431536898087089e-43 13112
16.25 4.027359171166878e-43 11652
16.5 3.635299582073008e-43 9776
16.75 3.358544305197066e-43 8448
17 2.689788829966513e-43 7013
17.25 2.258567813171482e-43 5546
17.5 1.893758543807165e-43 4722
17.75 1.642484417389385e-43 3782
18 1.337784784920837e-43 3174
18.25 1.159223427417808e-43 2582
18.5 8.087170078401915e-44 1928
18.75 7.531087409445854e-44 1662
19 5.134338335773354e-44 1256
19.25 3.818466046118895e-44 864
19.5 1.930031762536278e-44 428
19.75 2.263036800207753e-44 456
20 1.178131172185521e-44 248
20.25 5.588853331251463e-45 104
20.5 6.563476354382513e-46 18
20.75 2.900854888788091e-46 7

0.25 1.42346032417382e-27 18
0.5 4.256767897681343e-27 62
0.75 3.423469982836128e-27 98
1 4.659025416367773e-27 210
1.25 5.856282686833085e-27 350
1.5 3.279585953540175e-27 450
1.75 3.536300392293668e-27 602
2 2.436401544181877e-26 762
2.25 2.123830988578526e-26 1142
2.5 9.008122094369615e-27 1250
2.75 4.880158901513619e-27 1458
