#t    <phi>    <pi>    <phi^2>    <pi^2>    rms(phi)    rms(pi)
0    -7.81226134077859e-25    -4.02867594632308e-24    4.20604189816845e-15    5.26931493299044e-13    6.48540044883001e-08    7.25900470656304e-07
0.5    5.11834867411334e-16    -1.77494456600012e-15    1.70502082506053e-15    2.58665445877164e-13    4.12918978137422e-08    5.08591629774974e-07
1    3.3232991719529e-16    -3.77790797598499e-17    9.63163810438654e-16    1.18489213694465e-13    3.10348805449393e-08    3.44222622287474e-07
1.5    -6.27957206733602e-17    1.26896699245425e-15    9.10856209894028e-16    4.76580544086629e-14    3.01803944622006e-08    2.18307247723622e-07
2    1.06412593285967e-16    -4.99788292870771e-16    1.35754772203703e-15    1.70938797219635e-14    3.68449144664095e-08    1.30743564743981e-07
2.49999999999999    -1.51984536357868e-16    -5.90614836259872e-16    1.49549845403524e-15    1.371382044516e-14    3.86716750870096e-08    1.17106022241215e-07
2.99999999999998    7.10259404850714e-17    9.75394332152103e-16    5.88659375129388e-16    2.0750197982012e-14    2.42623035824999e-08    1.44049290112836e-07
3.49999999999997    -5.66796775835952e-17    3.87013246128635e-16    2.11356588059429e-16    4.21324376392744e-14    1.45381081320586e-08    2.05261875756981e-07
3.99999999999996    -6.80444471007359e-17    3.23720254440987e-16    1.67994201405907e-16    3.67990523147518e-14    1.29612577092621e-08    1.91830790841178e-07
4.49999999999995    -1.18124546362406e-16    -4.60744633820156e-17    1.76055711727366e-16    2.3951234290266e-14    1.32685987100133e-08    1.54761863164883e-07
4.99999999999994    1.1989168928304e-16    -4.33761022182832e-16    2.73801792425107e-16    1.09128948378814e-14    1.65469571953609e-08    1.04464801908975e-07
5.49999999999993    -6.41761348522257e-17    -1.57390790685804e-16    7.01904177865948e-16    4.20767415770493e-15    2.64934742505763e-08    6.48665873752036e-08
5.99999999999992    -1.00446042808763e-16    4.36286242159193e-16    3.14076762184155e-16    1.44192776958393e-14    1.77222109846417e-08    1.20080296867718e-07
6.49999999999991    -9.0628285213072e-18    -9.38721455914671e-16    9.57884184964707e-17    2.46049973834049e-14    9.78715579197913e-09    1.56859801681007e-07
6.9999999999999    -1.13770329541586e-17    -1.75377174670002e-15    1.04818591979329e-16    2.24202567799926e-14    1.02380951343172e-08    1.49733953330541e-07
7.49999999999988    -4.4748409100397e-17    -2.38041073737762e-15    1.14385558266444e-16    1.63870360933713e-14    1.06951184316231e-08    1.28011859190355e-07
7.99999999999987    1.4576346158666e-16    -3.87768776111438e-16    1.64496761371399e-16    9.29882259125873e-15    1.28256290828715e-08    9.64304028367544e-08
8.49999999999986    3.74293500907568e-17    -3.43344308309709e-16    2.32433192905243e-16    5.4469498606446e-15    1.5245759833647e-08    7.38034542595711e-08
8.99999999999985    -2.27534333418575e-16    -2.0634361941392e-16    8.86991367387508e-16    2.099648636367e-15    2.97824002959383e-08    4.58219230976505e-08
9.49999999999984    2.49016901099211e-16    6.20990730630033e-16    1.62327444956462e-16    1.83028531369355e-14    1.27407788206397e-08    1.35288037671242e-07
9.99999999999983    -1.63472589480486e-16    1.34750882111137e-15    2.06321512287133e-16    1.50914200917864e-14    1.43638961388313e-08    1.22847141162448e-07
10.4999999999998    -2.29060469991615e-16    -2.50424156641762e-16    1.93940356235449e-16    1.12282142955124e-14    1.39262470262253e-08    1.05963268614706e-07
10.9999999999998    -1.13940639197812e-16    -1.29951712405075e-15    2.28710179911186e-16    7.72438341350642e-15    1.51231669934305e-08    8.78884714482304e-08
11.4999999999998    1.35733677571478e-16    8.26365992831258e-18    2.94217654700956e-16    5.57519892853237e-15    1.71527739651916e-08    7.46672547274397e-08
11.9999999999998    -2.0866332405405e-16    -7.64454525360562e-16    6.18477937774513e-16    5.48072179452914e-15    2.48692166699016e-08    7.40318971425773e-08
12.4999999999998    -5.90419409477125e-16    -1.95921483483166e-16    1.19054172255138e-15    9.5743672025663e-15    3.45042276040398e-08    9.78486954566401e-08
